2310,3104
Statuenhaft 128,143,157,28
verband 459,601,118,26
die 594,601,41,26
jungen 651,602,98,34
Mädchen. 765,603,140,25
<EOS>
Oder 925,604,72,25
viel¬ 1013,604,63,25
mehr 127,638,73,24
etwas, 216,643,88,26
das 321,638,44,26
sie 383,639,35,25
jedes 434,638,69,35
für 520,639,42,26
sich 578,640,55,25
geheimhielten 649,640,201,34
und 862,642,56,24
doch 929,642,69,25
von¬ 1009,651,66,16
einander 126,676,122,24
ahnten. 262,676,103,25
<EOS>
Das 381,677,54,24
war 450,686,54,16
die 518,676,41,26
Verliebtheit 573,677,171,26
in 757,679,28,25
den 799,679,51,25
jungen 864,680,98,34
Pastor. 976,681,98,24
<EOS>
Auch 127,713,77,24
Margrit, 215,715,119,32
die 351,714,42,25
weitaus 408,715,107,24
Jüngste, 527,715,119,33
machte 662,716,102,25
da 780,716,32,26
keine 828,717,75,25
Ausnahme. 913,718,161,25
<EOS>
Aber 126,750,72,26
sie 211,752,35,24
wußte 259,752,88,24
es 361,760,24,16
am 400,760,41,16
besten 454,752,90,25
zu 556,760,33,17
verbergen. 601,753,153,34
<EOS>
Es 768,755,35,24
gelang 817,754,94,34
ihr 923,755,41,25
so 976,765,30,16
gut, 1019,761,56,28
daß 126,788,50,25
sie 191,789,35,25
von 239,798,56,16
den 308,789,50,25
andern 371,789,98,25
für 482,790,42,24
ungerührt 537,791,145,33
und 694,792,55,24
ungefährlich 762,792,181,34
gehalten 955,793,121,33
wurde. 125,826,99,25
<EOS>
Man 238,827,64,24
zog 315,835,51,25
sie 379,828,36,24
sogar 428,837,77,24
ins 517,828,39,25
Vertrauen. 570,829,153,25
<EOS>
Sie 739,830,40,24
erfuhr 792,830,89,24
Geheimnisse 894,831,181,24
aus 126,872,44,16
dem 184,864,60,25
Liebesleben 255,864,169,26
der 436,865,46,25
einen 493,866,75,25
und 579,866,56,25
andern. 646,866,106,26
<EOS>
Bloß 765,868,67,24
die 846,868,40,24
Baslerin 898,869,115,24
ließ 1024,869,51,24
nichts 125,902,84,25
verlauten. 224,902,141,26
<EOS>
Aber 380,903,73,25
eines 467,904,68,25
Tags 550,904,68,33
holte 632,904,73,26
sie 720,905,34,25
Margrit 768,906,112,33
auf 893,905,47,26
ihr 950,906,41,24
Zim¬ 1005,907,70,24
mer 126,947,55,17
und 194,940,55,25
spielte 262,941,90,33
ihr 364,941,42,24
eine 418,941,57,24
Fantasie 488,942,117,24
vor, 617,951,59,22
die 690,942,42,25
sie 745,943,36,25
auf 793,943,48,25
den 851,943,51,26
Geburtstag 915,944,161,34
des 126,977,44,25
jungen 183,978,98,33
Pastors 293,979,102,24
komponiert, 409,979,176,34
aber 598,980,61,24
im 670,980,37,24
kritischen 719,980,140,26
Moment 871,982,122,24
nicht 1004,982,72,25
vorzutragen 125,1021,176,28
gewagt 314,1022,103,28
hatte. 430,1017,78,25
<EOS>
Das 522,1018,55,24
Stück 593,1018,79,24
tönte 685,1021,74,22
wie 772,1019,49,24
andere 835,1019,94,25
Musiken, 942,1019,132,31
aber 125,1052,61,26
an 205,1063,32,15
der 257,1053,45,26
Art, 320,1054,58,31
wie 397,1055,50,24
es 466,1063,26,17
gespielt 511,1055,110,34
wurde, 639,1056,99,30
war 758,1065,53,16
eine 830,1057,56,24
unerwartete 905,1063,171,19
Lebhaftigkeit 125,1091,194,33
der 332,1091,45,26
Gefühle 390,1092,115,25
zu 516,1101,33,16
erkennen. 562,1093,139,25
<EOS>
<EOP>
Es 178,1129,35,25
stimmte 229,1129,114,25
nicht 356,1129,72,26
alles 443,1130,59,25
aufs 517,1130,55,26
Wort, 589,1132,84,30
was 688,1140,53,17
Leeds 755,1132,82,25
in 852,1133,28,24
seinem 894,1133,97,24
Brief 1005,1133,74,25
an 125,1175,33,16
Brückmehl 166,1168,158,24
über 333,1168,64,24
die 406,1168,41,25
Mangeois 456,1169,138,33
ausgesagt 603,1175,137,28
hatte. 748,1169,78,26
<EOS>
Der 837,1171,55,24
Sachverhalt, 901,1170,174,31
der 126,1204,45,25
aus 185,1214,44,15
seiner 245,1206,83,24
Feder 340,1206,82,24
floß, 434,1206,64,31
war 512,1215,54,16
in 578,1207,27,24
soviel 620,1207,83,25
unreinen 715,1208,127,25
Töpfen 856,1208,104,34
gestan¬ 974,1215,101,27
den, 126,1242,59,31
daß 195,1242,50,25
sich 255,1243,55,24
mancher 318,1244,122,23
feindlich 448,1244,125,24
gemeinte 582,1245,129,33
Fremdstoff 720,1245,159,26
dazugemengt 885,1246,190,34
und 125,1279,55,26
die 195,1280,40,25
Färbung 249,1280,122,34
getrübt 385,1281,106,33
hatte. 505,1281,77,25
<EOS>
Seine 599,1283,74,24
Gewährsleute 687,1283,197,25
waren 897,1292,87,17
Pom- 997,1285,77,24
papler 124,1317,90,33
reinster 232,1318,108,25
Auslese, 357,1318,118,32
und 494,1319,55,26
wenn 567,1328,78,17
Pompapler 663,1321,157,33
über 837,1322,65,24
Pompapler 919,1322,157,34
urteilen, 125,1356,118,30
wird 258,1356,66,25
das 340,1356,44,25
Urteil 400,1357,83,25
stets 498,1363,60,19
eine 574,1358,57,25
Verurteilung 645,1359,186,34
sein. 847,1360,61,24
<EOS>
Leeds 925,1360,82,24
war 1022,1367,54,17
nur 125,1402,49,15
insofern 194,1394,118,25
schuldig, 332,1394,129,34
als 482,1395,34,25
er 538,1404,27,16
sich 586,1395,54,25
im 660,1396,37,24
Vergnügen 717,1397,162,33
des 899,1397,44,25
leichten 964,1397,111,25
Hinschreibens 125,1432,204,24
gehen 351,1433,85,33
ließ 456,1433,51,25
und 529,1433,55,25
die 606,1433,42,25
amüsante 669,1437,134,22
Fassung 823,1436,117,33
vor 961,1444,50,17
die 1033,1435,41,25
nüchterne 124,1469,144,25
Tatsache 289,1470,125,24
setzte. 435,1477,86,18
<EOS>
Es 544,1472,34,23
war 599,1480,55,16
freilich 672,1472,102,26
nicht 793,1472,72,25
abzuleugnen, 886,1472,188,34
daß 125,1506,50,26
die 190,1506,41,26
Person 244,1508,98,24
des 356,1507,43,25
jungen 412,1509,99,33
Pastors 524,1510,103,23
den 641,1509,51,25
Ausschlag 704,1510,146,33
gab, 864,1510,59,34
wenn 936,1520,78,15
alle 1027,1510,47,26
die 125,1544,42,25
jungen 179,1545,98,33
Mädchen 289,1545,132,26
begeisterte 433,1545,154,34
Briefe 599,1547,84,24
nach 695,1547,67,25
Hause 774,1549,89,24
schickten 875,1548,133,25
und 1020,1549,55,24
derweise 125,1582,124,25
in 267,1583,28,25
ihren 312,1583,75,25
Kreisen 405,1584,111,25
Reklame 535,1584,124,25
machten. 677,1584,128,26
<EOS>
Aber 826,1586,72,24
es 916,1595,26,16
geschah 962,1586,113,34
doch 125,1620,70,25
wohl 204,1621,72,24
kaum 287,1621,79,24
aus 375,1630,44,16
bewußter 430,1621,136,26
Ueberlegung, 576,1622,194,35
daß 781,1623,50,25
die 842,1623,42,25
alte 894,1624,49,24
Madame 953,1624,122,25
den 125,1658,50,24
Scharm 188,1659,106,24
ihres 304,1659,67,25
Sohnes 384,1659,99,25
mit 495,1660,48,25
dem 554,1659,59,26
Küchenbudget 623,1661,214,34
in 847,1662,28,25
Verrechnung 885,1662,189,34
brachte. 124,1695,113,26
<EOS>
Der 256,1698,55,23
reizlos 328,1697,91,25
und 437,1698,55,24
kärglich 510,1698,116,33
bestellte 643,1698,116,26
Tisch 776,1699,80,26
war 872,1709,54,16
nicht 942,1700,72,25
auf 1031,1699,47,26
Ausgleich 124,1733,143,34
durch 276,1734,82,25
das 367,1735,44,24
Schwarmobjekt 422,1736,223,34
zugeschnitten, 653,1737,206,33
sondern 869,1737,114,26
durch 991,1737,83,26
ihr 124,1771,41,25
ganzes 179,1780,93,25
Wesen 289,1773,94,24
und 396,1772,55,25
ihre 465,1773,56,24
Weltanschauung 537,1774,238,34
bedingt. 789,1775,117,33
<EOS>
Außerdem 922,1775,152,25
wußte 124,1809,89,25
sie, 229,1810,44,31
daß 290,1809,50,26
die 357,1809,42,26
jungen 415,1811,98,33
Dinger 528,1811,103,34
fast 646,1811,50,25
stets 712,1818,61,19
Taschengeld 790,1812,179,35
genug 986,1822,88,25
besaßen, 124,1847,122,31
um 268,1856,45,16
sich 334,1847,55,26
mit 410,1848,47,25
Zwischenmahlzeiten 479,1848,293,27
oder 794,1850,65,25
Schleckereien 881,1850,193,25
schadlos 124,1885,120,25
zu 263,1893,34,17
halten. 316,1886,95,25
<EOS>
Denn 432,1886,79,25
das 532,1886,43,26
Haus 596,1888,73,24
Mangeois 689,1888,138,33
war 848,1897,53,16
keines 921,1888,87,25
der 1029,1888,45,25
klösterlich 124,1922,150,25
disziplinierten 292,1923,202,34
Töchterheime, 511,1924,210,32
wo 738,1935,43,15
jeder 799,1925,71,34
Schritt 887,1926,95,25
unter 999,1932,76,20
Aufsicht 124,1960,122,25
geschah. 260,1961,120,33
<EOS>
Es 395,1963,36,23
trug 445,1968,60,28
vielmehr 519,1963,126,24
den 660,1963,50,24
Charakter 724,1963,140,25
einer 878,1964,70,25
Pension 961,1964,113,25
mit 124,1998,48,25
diskret 196,1998,98,26
christlich 318,1998,132,26
betontem 472,1999,136,25
Familienanschluß. 632,2001,259,26
<EOS>
Der 916,2002,55,24
junge 995,2002,79,33
Pastor 124,2036,91,25
ging 226,2036,64,34
mit 303,2037,48,25
der 362,2037,46,25
Zeit, 417,2037,66,31
und 496,2037,55,25
er 563,2046,27,16
hatte 602,2038,70,25
seine 684,2039,70,24
Eltern 763,2039,90,25
dazu 866,2039,65,25
gebracht, 940,2040,133,33
dasselbe 124,2073,116,26
zu 252,2082,33,17
tun. 299,2080,55,20
<EOS>
Es 369,2076,35,24
galt 418,2075,54,33
ja 484,2076,24,33
nur 521,2084,50,17
mehr 583,2076,75,25
in 670,2076,28,25
ganz 710,2084,66,26
beschränkten, 789,2077,198,31
welt¬ 1002,2078,72,24
fernen 123,2111,91,26
und 233,2112,55,25
dazu 307,2112,66,25
noch 392,2112,70,26
verarmten 481,2120,147,19
Kreisen 647,2114,111,26
als 777,2114,35,26
fein, 831,2114,63,32
die 914,2115,42,25
jungen 975,2116,99,34
Damen 124,2150,103,24
im 238,2150,36,24
Käfig 285,2151,79,33
zu 375,2158,33,17
dressieren. 420,2151,149,26
<EOS>
Seitdem 584,2151,114,26
das 710,2151,43,27
Frauenstudium 765,2152,218,26
etwas 994,2160,78,18
Selbstverständliches 124,2187,287,26
geworden 423,2189,143,34
war, 578,2199,62,22
hatte 653,2189,70,26
sich 736,2190,54,25
die 803,2190,40,26
Notwendigkeit 856,2191,218,34
einer 124,2226,69,24
Umstellung 203,2226,166,34
ergeben. 380,2227,120,33
<EOS>
Einstens 512,2228,121,24
waren 643,2236,88,16
Studentinnen 743,2228,189,26
entweder 942,2229,132,25
Mannweiber, 124,2263,188,31
Nihilistinnen 328,2264,188,25
oder 532,2265,63,24
sonst 610,2271,74,19
der 699,2265,46,25
gangbaren 759,2266,151,34
Vorurteile 925,2267,149,24
entwurzelte 124,2301,166,25
Einzelgängerinnen 313,2301,270,34
gewesen. 605,2311,128,25
<EOS>
Jetzt 757,2304,69,32
aber 848,2304,60,25
besuchten 930,2304,144,25
Bürgerstöchter 123,2338,217,34
aller 358,2339,61,25
Schattierungen 439,2339,215,35
sowohl 674,2341,103,25
die 797,2341,41,25
Universität 858,2342,160,24
als 1036,2342,37,25
auch 124,2377,66,25
die 207,2376,42,25
übrigen 268,2377,110,33
Bildungsinstitute 396,2377,247,34
am 660,2387,43,16
Platz. 721,2379,77,25
<EOS>
Die 818,2379,52,25
Alten 886,2379,81,26
hatten 984,2379,90,26
der 124,2413,45,25
Einsicht 188,2415,118,24
des 325,2415,44,25
Sohnes 390,2415,99,25
nur 509,2424,49,16
unwillig 577,2416,118,33
nachgegeben. 714,2416,194,34
<EOS>
Ein 928,2418,51,25
unter 997,2424,77,19
strenger 124,2457,116,28
Fuchtel 259,2453,108,24
gehaltener 387,2453,149,33
Gänsestall 556,2454,147,25
wäre 722,2458,68,21
mehr 810,2454,74,26
nach 903,2455,67,25
ihrem 989,2455,84,25
Sinn 124,2489,63,25
gewesen. 203,2499,128,24
<EOS>
Aber 349,2490,72,25
der 437,2491,45,24
Junge 498,2492,86,33
wußte 599,2493,89,23
ihnen 704,2492,79,25
vorzurechnen, 798,2493,206,31
daß 1022,2493,50,25
das 123,2526,44,26
Unternehmen 187,2527,197,26
im 401,2528,38,25
modernen 457,2529,145,25
Sinn 622,2530,63,24
weitaus 704,2531,105,24
einträglicher 830,2531,180,34
ge¬ 1029,2540,43,25
staltet 123,2565,84,25
werden 221,2565,106,25
konnte. 341,2565,107,26
<EOS>
Bei 463,2567,47,25
der 523,2566,45,26
Mutter 582,2568,100,24
drang 696,2567,82,34
er 792,2576,28,16
sehr 834,2568,58,25
bald 905,2568,61,25
durch. 980,2568,90,25
<EOS>
Der 122,2603,56,24
alte 198,2603,49,24
Pastor 268,2604,90,24
endete 378,2604,93,25
damit, 491,2604,89,31
Einwände 601,2605,145,25
gegen 766,2615,85,24
beide 871,2606,76,25
Auffas¬ 966,2606,106,25
sungen, 123,2649,109,25
die 248,2641,42,25
alte 303,2641,50,25
und 367,2642,55,24
die 436,2642,41,25
neue, 491,2651,75,22
zu 580,2650,33,17
machen 627,2642,110,26
und 750,2643,55,25
schließlich 820,2643,149,27
brum- 983,2644,88,26
melnd 123,2678,88,25
nachzugeben, 223,2679,194,34
da 432,2680,32,24
ihm 476,2680,56,24
kein 544,2681,61,24
Gegenvorschlag 618,2681,233,34
einfiel. 864,2681,93,26
<EOS>
<EOP>
Zu 175,2720,42,25
den 236,2720,51,26
festen 305,2720,84,26
Gebräuchen 408,2721,174,26
des 601,2722,44,25
Hauses 665,2723,100,24
gehörte, 786,2723,117,33
daß 924,2723,50,25
es 993,2732,26,16
an 1040,2732,32,16
Wochentagen 124,2758,198,33
zum 340,2766,61,17
Nachtisch 420,2759,143,25
ein 583,2760,41,24
wässeriges 643,2761,149,32
Kompott 812,2762,134,32
von 964,2770,56,16
zu 1039,2769,33,17
wenig 122,2796,86,33
gereiften 228,2796,126,33
und 372,2797,55,24
daher 446,2797,79,24
schalen 544,2797,103,25
Birnen 665,2798,96,25
gab. 780,2798,58,33
<EOS>
Bei 859,2799,45,24
dem 924,2798,60,25
spar¬ 1002,2807,70,25
samen 123,2841,88,17
Kochen 228,2834,113,24
blieben 359,2834,103,24
die 481,2835,41,23
Schnitze 542,2835,118,24
von 678,2844,55,16
geradezu 751,2835,128,34
harthölziger 897,2836,175,33
<EOS>
<EOP>
Widerspenstigkeit, 1169,151,269,34
so 1463,161,30,16
daß 1516,152,49,25
sie 1590,152,36,25
nur 1648,160,50,17
unter 1720,157,77,19
Anwendung 1818,151,178,34
einiger 2020,151,98,34
Gewalt 1169,190,103,24
mundgerecht 1296,190,190,34
zerkleinert 1510,190,153,25
werden 1687,190,106,24
konnten. 1819,190,125,24
<EOS>
Besonders 1971,190,146,25
zäh 1168,227,48,25
waren 1226,236,87,16
sie 1325,228,35,24
an 1372,236,32,16
einem 1415,228,84,24
Donnerstag 1510,229,169,32
im 1690,228,37,24
Herbst. 1737,227,106,25
<EOS>
Die 1856,228,52,24
schwarze 1919,227,129,25
Bise 2059,228,59,24
hatte 1168,265,70,25
den 1251,265,50,25
Himmel 1313,266,117,24
so 1443,274,29,16
sehr 1486,265,58,25
verfinstert, 1555,266,156,29
daß 1725,265,50,25
man 1788,274,60,16
im 1860,266,37,24
Zimmer 1910,265,116,25
kaum 2039,265,79,25
mehr 1168,303,73,25
sah, 1252,303,54,31
was 1317,312,52,16
auf 1381,302,46,27
dem 1436,302,60,26
Teller 1507,303,85,25
lag. 1602,303,50,33
<EOS>
Die 1665,304,50,24
Glastüre 1728,303,121,25
mit 1860,303,48,25
dem 1919,302,60,26
Ausblick 1989,302,129,26
in 1165,340,28,25
die 1214,340,42,25
herbstlich 1276,340,141,26
trübselige 1438,340,141,34
Allee 1599,340,75,26
mit 1694,341,48,25
dem 1763,340,60,26
Brandmauerhinter¬ 1843,340,275,26
grund 1167,378,86,33
bildete 1266,378,95,25
ein 1373,379,42,25
helles 1427,378,78,26
Viereck, 1517,378,120,32
von 1649,388,55,16
dem 1717,378,59,25
sich 1789,378,54,26
der 1856,378,45,25
Umriß 1913,378,93,26
des 2018,378,44,26
am 2075,387,43,17
Tischende 1167,411,146,30
sitzenden 1331,417,134,24
Guy 1483,417,62,33
Mangeois 1561,417,139,33
wie 1718,417,50,24
ein 1786,417,42,24
Scherenschnitt 1847,417,209,25
ab¬ 2073,417,44,24
hob. 1166,454,63,25
<EOS>
Mathilde 1243,454,127,25
Peristil, 1383,455,108,30
die 1505,454,40,25
es 1559,463,25,16
nicht 1597,455,73,24
über 1681,454,65,25
sich 1759,455,55,26
brachte, 1825,454,114,31
unschön 1952,454,121,25
zu 2084,462,33,17
essen 1167,500,73,16
und 1251,492,55,25
etwas 1317,498,77,19
in 1406,493,27,23
den 1445,492,51,24
Mund 1506,492,87,25
zu 1604,500,32,16
führen, 1646,492,103,30
das 1762,492,44,25
sich 1819,492,55,24
nicht 1884,493,72,23
unsichtbar 1966,492,152,25
kauen 1167,530,84,25
ließ, 1267,530,61,30
versuchte 1346,530,137,25
einen 1501,531,75,24
der 1594,530,45,25
Schnitze 1658,530,119,26
mit 1795,530,47,25
dem 1860,530,60,25
Dessertlöffel 1938,530,179,25
entzweizudrücken. 1167,568,267,25
<EOS>
Aber 1454,568,73,25
das 1544,567,44,26
Ding 1607,568,74,33
war 1698,577,54,16
nicht 1770,568,72,25
nur 1859,577,50,16
zäh, 1927,568,56,30
sondern 2002,568,115,25
auch 1166,605,67,25
elastisch. 1251,605,127,26
<EOS>
Plötzlich 1402,606,127,25
entglitt 1548,606,105,33
es 1676,615,26,16
und 1721,605,55,26
schnellte 1797,605,123,25
von 1939,615,56,16
einigen 2013,606,105,33
Spritzern 1168,643,130,33
begleitet 1310,643,122,34
übers 1443,643,76,26
Tischtuch 1532,643,143,26
hin. 1686,643,53,26
<EOS>
<EOP>
Auf 1218,682,59,24
dem 1287,682,60,24
Gesicht 1361,682,109,25
der 1484,682,45,24
Madame 1543,682,121,25
entstand 1677,681,120,25
eine 1811,682,57,24
vorübergehende 1880,681,236,34
Unordnung, 1168,719,176,34
aber 1358,720,61,24
sie 1429,720,35,24
sagte 1475,726,70,27
nichts. 1554,720,94,24
<EOS>
Colette 1664,720,100,24
Gnägi 1775,720,89,33
wagte 1872,726,85,27
ein 1967,720,42,23
kleines 2019,720,96,23
Gelächter 1168,757,138,24
einzuleiten, 1317,757,162,30
das 1492,757,44,24
aber 1548,757,60,24
erst 1620,763,50,18
allgemein 1681,757,138,33
wurde, 1830,756,99,31
als 1941,757,35,24
sich 1989,757,55,24
Guy 2055,758,62,32
Mangeois 1167,794,137,34
dazuschlug. 1324,794,166,34
<EOS>
Der 1510,795,55,24
alte 1583,794,49,26
Pastor 1651,796,91,24
steuerte 1760,800,110,19
bloß 1889,794,63,26
ein 1971,795,42,24
säuer¬ 2032,798,84,21
liches 1165,831,80,26
Habichsnichtgesagt-Kopfnicken 1264,832,464,34
bei, 1747,832,50,31
während 1816,832,125,25
er 1959,841,27,16
mit 2004,833,48,24
der 2071,832,45,25
magern 1166,878,107,25
Rechten 1285,870,116,25
unhörbare 1413,870,148,25
Rhythmen 1573,870,150,33
aufs 1735,870,56,25
Tischtuch 1803,870,143,26
trommelte. 1957,870,157,25
<EOS>
<EOP>
Als 1218,912,46,24
die 1275,912,42,24
Heiterkeit 1326,912,145,24
erschöpft 1480,912,133,34
war, 1622,920,62,22
erfragte 1694,911,111,34
Guy 1815,912,62,33
aufartige, 1886,911,143,34
wenn 2038,920,78,16
auch 1166,949,67,25
leicht 1245,949,78,26
ironische 1335,950,131,25
Weise, 1481,950,93,30
was 1588,958,52,17
die 1655,949,42,26
Damen 1709,950,105,25
für 1825,949,44,26
den 1882,949,51,25
Nachmittag 1946,949,169,33
vorhätten. 1166,987,147,25
<EOS>
Die 1336,987,51,25
Antworten 1407,987,158,26
erfolgten 1587,987,129,34
rasch, 1737,986,82,32
prompt 1841,993,108,27
und 1969,987,55,25
ohne 2046,987,70,25
großes 1166,1025,95,32
Besinnen. 1278,1025,136,25
<EOS>
Denn 1431,1026,79,24
die 1526,1025,41,25
jungen 1582,1025,99,34
Mädchen 1696,1024,131,26
lebten 1842,1024,87,26
nicht 1943,1024,73,27
blind¬ 2030,1024,86,26
lings 1165,1063,68,33
in 1255,1063,28,24
den 1305,1063,51,25
Tag 1377,1063,56,33
hinein. 1455,1063,96,25
<EOS>
Einige 1574,1063,95,33
verschwendeten 1690,1063,231,25
ihre 1941,1063,56,24
gegen¬ 2019,1071,96,25
wärtige 1166,1101,107,33
Freiheit 1291,1101,112,26
an 1421,1110,32,15
ehrgeizige 1472,1101,146,34
Hoffnungen, 1636,1101,181,33
zu 1836,1108,33,17
deren 1887,1100,79,25
Verwirk¬ 1984,1100,131,25
lichung 1166,1138,107,34
sie 1293,1139,35,24
wohl 1347,1139,72,24
die 1438,1139,41,24
äußere 1498,1139,94,24
Energie, 1610,1139,122,33
aber 1752,1138,60,25
merkwürdigerweise 1830,1138,285,34
nicht 1165,1176,73,25
den 1262,1176,51,25
innern 1337,1177,93,24
Ernst 1454,1178,79,23
aufbrachten. 1557,1176,180,25
<EOS>
Andere 1763,1176,106,25
bemühten 1893,1176,143,25
sich 2061,1176,54,25
schlechthin 1167,1213,161,26
um 1355,1223,46,16
quantitativ 1428,1215,156,33
höchstmögliche 1611,1214,228,33
Ausnützung 1866,1214,176,33
der 2070,1214,46,25
ortsgegebenen 1167,1251,207,34
Gelegenheiten 1383,1251,206,34
und 1598,1251,55,26
luden 1665,1251,80,26
soviel 1758,1251,83,26
Heu 1849,1253,61,24
auf 1919,1251,47,26
ihr 1971,1251,41,25
Fuder, 2020,1251,94,31
daß 1167,1289,50,25
nichts 1234,1289,84,26
mehr 1336,1289,75,25
vom 1427,1298,65,17
Fleck 1508,1289,78,26
kam. 1604,1289,66,25
<EOS>
Obwohl 1691,1289,117,25
ihre 1825,1289,55,25
Jugend 1898,1289,105,34
bevor¬ 2020,1289,94,25
rechtet 1166,1327,98,25
war 1278,1336,53,16
und 1345,1328,55,24
sie 1416,1328,35,24
mit 1466,1328,48,24
dem 1528,1327,60,25
kostbaren 1604,1327,139,25
Gut 1759,1328,56,24
der 1830,1327,45,25
Zeit 1891,1327,57,25
verhältnis¬ 1962,1327,152,25
mäßig 1166,1365,88,34
freigebig 1270,1365,128,34
umspringen 1414,1366,171,33
durften, 1602,1365,113,30
verbrachten 1732,1365,171,25
sie 1920,1365,35,24
ihre 1971,1365,56,24
Tage 2043,1365,72,34
und 1166,1402,55,25
Wochen 1234,1403,118,25
unterm 1364,1409,103,18
Zwang 1480,1404,100,33
verschachtelter 1592,1403,216,25
Stundenpläne. 1820,1403,202,33
<EOS>
Denn 2035,1404,80,23
es 1165,1449,26,16
galt, 1209,1440,62,34
aufs 1289,1441,55,25
Ende 1362,1441,75,25
des 1455,1441,44,25
Schuljahres 1518,1441,161,34
Examen 1697,1442,117,24
zu 1830,1449,33,16
bestehen, 1880,1440,132,32
Preise 2029,1441,85,25
und 1165,1478,55,25
Diplome 1238,1478,126,34
zu 1381,1487,34,16
erringen, 1433,1479,128,33
von 1580,1488,55,16
denen 1654,1478,84,25
man 1756,1488,60,15
fürs 1833,1478,55,26
spätere 1908,1482,99,29
Leben 2025,1478,89,26
weiß 1165,1516,68,25
Gott 1253,1517,67,24
was 1339,1526,51,15
erwartete. 1411,1522,140,19
<EOS>
Der 1571,1517,56,24
Donnerstag 1645,1517,169,32
war 1833,1525,53,16
zwar 1905,1524,69,17
schulfrei 1992,1516,122,25
und 1165,1554,55,24
wurde 1236,1554,91,25
in 1343,1554,27,25
Pompaples 1387,1554,155,34
als 1559,1554,35,25
der 1612,1554,45,25
«petit 1677,1554,80,34
Dimanche» 1773,1554,165,25
bezeichnet. 1955,1554,157,25
<EOS>
Aber 1165,1591,73,25
das 1252,1592,44,25
Programm 1311,1593,155,33
für 1479,1592,42,25
den 1537,1592,50,24
Nachmittag 1601,1592,169,33
dieser 1785,1592,83,24
Mädchen 1882,1591,131,25
unter¬ 2027,1597,86,19
schied 1166,1629,88,25
sich 1279,1629,56,26
wenig 1359,1630,87,34
von 1472,1638,55,17
dem 1552,1629,61,25
anderer 1637,1629,108,25
Wochentage. 1772,1629,186,34
<EOS>
Mathilde 1985,1629,128,25
Peristil 1165,1667,100,25
übte 1281,1667,62,25
von 1359,1676,55,16
zwei 1429,1668,65,24
bis 1510,1668,39,24
vier, 1565,1668,64,30
dann 1647,1667,69,25
ging 1732,1668,64,33
sie 1813,1668,35,24
in 1864,1668,27,24
einen 1908,1668,75,24
Vortrag 1999,1669,114,32
über 1165,1705,64,25
Debussy 1245,1705,122,34
und 1383,1705,55,26
hatte 1454,1706,70,25
