2310,3104
^ur 379,545,149,132
als 671,2216,39,27
ob 723,2216,35,27
auch 772,2217,72,26
die 856,2216,43,27
Schweizer 914,2217,150,26
Bauern 1077,2217,110,26
zu 1201,2227,33,16
bloßen 1246,2217,102,26
«Produzenten» 1362,2217,225,25
werden 152,2272,110,27
sollten. 282,2272,107,27
<EOS>
Doch 418,2272,78,27
diese 521,2272,73,27
Auffassung 614,2272,170,36
übersieht 806,2273,142,27
die 968,2272,43,28
geistigen 1035,2273,133,35
und 1192,2273,55,27
seelischen 1269,2272,149,28
Kräfte 1439,2272,100,28
in 1558,2272,28,28
unserm 152,2338,111,17
Volke, 276,2329,96,32
und 388,2329,57,26
vor 458,2338,51,17
allem 525,2329,81,26
rechnet 621,2330,116,26
sie 754,2330,36,26
nicht 807,2330,78,26
mit 901,2330,52,26
den 969,2330,54,26
Möglichkeiten 1040,2330,215,35
einer 1272,2330,73,26
bewußten 1361,2330,150,26
kul¬ 1527,2330,59,26
turellen 152,2386,117,25
Führung 287,2385,133,35
und 436,2386,58,25
Erneuerung. 511,2386,189,35
<EOS>
<EOP>
Als 241,2442,48,26
man 300,2452,66,16
nach 377,2442,72,27
dem 459,2443,63,26
letzten 533,2442,104,27
Kriege 649,2442,100,36
da 760,2443,35,27
und 807,2443,57,28
dort 875,2443,64,27
schüchtern 950,2443,168,28
begann 1128,2444,110,34
der 1249,2444,47,26
Wiedereinführung 1306,2443,282,35
der 152,2499,47,26
Trachten 217,2499,139,26
das 375,2499,48,26
Wort 441,2499,81,27
zu 539,2510,33,15
reden, 589,2500,93,32
meldeten 702,2500,140,26
sich 859,2500,58,26
von 934,2510,56,16
allen 1008,2501,72,25
Seiten 1100,2501,93,26
Kritiker 1212,2500,125,26
und 1354,2501,57,25
Historiker 1431,2500,157,27
und 152,2555,56,26
bewiesen 225,2555,137,26
mit 378,2555,51,26
klugen 446,2556,103,35
und 566,2556,56,25
scheinbar 640,2556,147,26
nicht 803,2556,78,27
zu. 903,2566,42,16
<EOS>
widerlegenden 958,2556,221,35
Argumenten, 1195,2557,200,35
warum 1421,2567,106,16
die 1544,2558,43,26
heimatgebundene 151,2611,271,35
Volkskleidung 440,2612,220,35
endgültig 677,2612,144,35
der 839,2613,47,26
Vergangenheit 903,2613,224,34
angehöre 1149,2614,137,34
und 1306,2613,58,26
nie 1386,2613,43,26
mehr 1451,2614,78,25
ins 1545,2614,42,25
heutige 151,2668,111,35
Leben 279,2668,90,28
zurückkehren 382,2670,211,25
könne. 605,2670,100,27
<EOS>
Das 722,2670,55,26
Landvolk 792,2670,147,26
hat 953,2670,49,26
sich 1016,2670,57,26
nicht 1086,2670,77,26
um 1177,2680,47,15
diese 1239,2669,72,27
Theorien 1325,2669,136,27
geküm¬ 1474,2670,113,34
mert, 151,2730,79,28
und 246,2725,58,28
heute 319,2725,83,27
ist 417,2725,36,27
das 468,2726,49,27
scheinbar 533,2725,145,28
Unmögliche 691,2726,182,35
weitherum 885,2726,164,27
im 1063,2726,38,27
Lande 1117,2727,94,26
Wirklichkeit 1223,2726,194,27
geworden. 1433,2727,153,34
<EOS>
Zu 151,2782,39,26
Zehntausenden 201,2782,232,28
werden 443,2783,111,27
die 564,2783,43,27
Arbeits 618,2783,111,27
trachten 734,2784,128,26
Tag 870,2784,59,35
für 936,2784,44,26
Tag 988,2784,58,35
getragen 1055,2790,131,29
und 1196,2784,56,26
die 1262,2783,43,27
Sonntags 1317,2784,138,35
trachten 1461,2784,127,26
<EOS>
<EOP>
Fortsetzung 1284,2851,136,21
auf 1428,2851,36,17
Seite 1474,2851,53,18
14 1538,2851,24,17
<EOS>
<EOP>
12 93,3017,28,20
<EOS>
<EOP>
