2310,3104
enn 420,291,203,146
er 247,2308,26,16
die 292,2300,41,25
entstehenden 351,2300,187,25
Lücken 551,2300,108,25
durch 676,2300,83,25
neue 776,2309,66,16
Anordnung 855,2300,169,33
des 1041,2299,45,25
Uebrigbleibenden 139,2337,256,35
ausglich. 417,2338,125,34
<EOS>
Mit 566,2338,52,24
der 641,2337,45,25
Sättigung 710,2338,137,34
kam 871,2338,59,24
ihm 953,2338,55,24
eine 1030,2338,56,23
Schwere 140,2375,118,25
hinter 272,2375,84,25
die 370,2375,41,25
Stirnwand, 426,2375,155,31
die 596,2375,42,25
Lust, 650,2377,73,29
einzuschlafen, 737,2375,200,31
legte 951,2376,68,33
sich 1033,2374,54,26
wie 139,2414,49,24
ein 200,2414,41,24
Gewicht 254,2413,121,25
an 387,2422,32,16
seinen 431,2414,88,24
Willen, 533,2413,103,31
und 649,2413,55,25
er 715,2422,28,16
war 754,2422,53,16
versucht, 818,2414,131,30
den 962,2413,51,25
erst¬ 1024,2419,62,19
besten 139,2451,90,26
Ort, 239,2452,59,30
wo 307,2460,44,17
er 360,2460,26,16
sich 393,2451,55,26
hinsinken 455,2451,138,26
lassen 599,2451,84,26
konnte, 691,2451,107,31
behaglich 805,2451,137,34
zu 949,2460,32,16
finden. 988,2450,97,26
<EOS>
Es 140,2490,34,24
geschah 192,2489,114,34
eigentlich 323,2489,138,33
ohne 479,2489,69,25
sein 566,2489,54,26
Zutun, 635,2489,97,31
daß 751,2489,50,26
er 819,2498,27,16
der 864,2489,44,25
Reihe 922,2489,80,25
nach 1020,2488,66,26
sämtliche 140,2526,133,26
Türen 284,2527,89,25
öffnete, 384,2527,105,31
das 505,2526,44,26
Licht 562,2526,76,26
an- 649,2536,44,15
und 704,2526,55,26
ausdrehte 771,2526,137,26
und 924,2526,55,26
in 994,2527,27,24
Ge¬ 1034,2526,52,25
mächer 140,2565,103,24
schaute, 250,2565,112,30
die 371,2565,41,24
der 420,2565,45,24
Reihe 470,2565,80,24
nach 558,2565,65,25
ein 631,2565,41,24
Spiegelkabinett, 678,2565,229,33
eine 913,2565,56,24
Opium¬ 975,2565,111,33
höhle, 139,2603,88,30
das 239,2602,44,25
Gewölbe 291,2603,129,24
eines 428,2603,69,24
arabischen 507,2603,150,24
Kaufmanns, 664,2602,173,31
eine 847,2604,56,23
Schießbude, 914,2602,171,30
das 140,2640,43,25
Innere 196,2641,93,24
eines 301,2641,69,23
Zeltes, 384,2640,94,30
eine 492,2641,56,24
Folterkammer 559,2640,204,25
und 775,2640,55,24
eine 842,2641,56,23
Mönchszelle 909,2640,178,25
vorstellten. 139,2678,161,25
<EOS>
Alles 322,2677,68,26
war 402,2686,54,17
denkbar 467,2677,116,26
echt 593,2677,59,26
und 665,2677,55,26
täuschend 734,2677,142,26
nachgemacht. 890,2677,195,34
<EOS>
Endlich 140,2716,112,26
fand 269,2716,63,26
er 350,2725,27,16
den 394,2716,51,25
Durchgang 463,2716,164,34
zu 644,2725,32,16
wirklichen 694,2717,153,24
Kellerräumlich¬ 860,2716,227,25
keiten 141,2756,85,24
und 237,2755,54,25
in 302,2756,27,24
ihrem 340,2755,83,25
Dunkel 431,2755,107,25
aufgeschichtet 549,2755,205,34
einen 765,2756,75,24
Haufen 849,2755,105,25
gerollter 964,2755,123,34
Teppiche. 141,2794,139,34
<EOS>
Er 293,2795,36,24
brachte 338,2793,105,26
es 452,2803,26,16
eben 488,2794,65,25
noch 561,2794,71,25
fertig, 640,2793,86,34
das 737,2793,43,26
Licht 790,2794,75,25
zu 873,2802,33,17
löschen 914,2793,108,26
und 1032,2793,55,26
sich 146,2833,52,25
in 213,2833,27,25
die 256,2832,41,26
rauh 312,2833,64,25
anfühlende 392,2832,157,26
Geborgenheit 566,2833,197,33
einer 778,2834,70,24
wenig 861,2833,86,34
schmieg¬ 964,2833,127,34
<EOS>
<EOP>
samen 1177,1060,88,17
Umhüllung 1278,1051,165,34
zu 1461,1058,32,17
flüchten. 1510,1051,122,24
<EOS>
Bevor 1650,1051,87,23
er 1751,1058,26,16
das 1791,1049,44,25
erste 1850,1055,66,19
Behagen 1930,1048,121,34
ent¬ 2068,1053,54,20
stehender 1177,1089,136,26
und 1338,1089,55,24
sich 1418,1089,54,24
sammelnder 1498,1088,172,25
Wärme 1696,1089,104,24
wahrzunehmen 1825,1086,219,26
ver¬ 2066,1094,57,17
mochte, 1176,1127,113,30
hatte 1298,1127,69,24
tiefer, 1374,1126,82,31
traumloser 1465,1126,153,25
Schlaf 1626,1125,89,26
sein 1720,1125,53,26
Bewußtsein 1781,1124,166,26
verschüttet. 1953,1124,168,25
<EOS>
<EOP>
Verschüttet 1226,1165,167,25
1 1399,1164,5,26
Nun 1422,1165,64,25
hatte 1502,1165,70,24
er 1589,1173,26,16
die 1632,1163,42,26
Brücke 1690,1162,102,26
gefunden. 1808,1162,140,34
<EOS>
Aus 1967,1162,56,24
dieser 2040,1161,83,25
tiefen 1175,1202,80,26
Verschüttung 1270,1202,196,34
war 1481,1211,53,16
er 1549,1211,27,16
durch 1592,1201,82,25
die 1689,1201,42,25
auftobende 1746,1200,159,26
Jazzmusik 1920,1199,149,34
ins 2083,1199,40,24
Bewußtsein 1176,1240,166,26
zurückgeschreckt 1360,1240,251,33
worden. 1629,1239,116,25
<EOS>
Der 1765,1239,55,24
erste 1839,1243,66,19
Schreck 1924,1237,111,26
hatte 2053,1236,70,26
sich 1176,1278,55,26
zu 1244,1287,32,16
forschender 1289,1278,169,26
Neugier 1471,1278,116,33
vernüchtert, 1599,1277,176,30
und 1789,1276,54,24
deswegen 1857,1275,139,35
stand 2009,1274,75,26
er 2097,1283,27,16
jetzt 1176,1317,61,33
vor 1251,1325,50,17
dem 1311,1316,61,25
runden 1385,1316,102,24
Loch 1498,1316,73,24
und 1585,1315,55,24
schaute 1654,1315,105,25
in 1773,1315,28,24
die 1815,1314,42,25
unbekannte 1871,1313,167,26
Helle 2048,1312,76,25
hinüber. 1177,1354,118,25
<EOS>
Es 1312,1355,34,24
war 1357,1363,54,16
immer 1424,1354,93,24
noch 1527,1353,71,25
der 1612,1353,46,25
selbe 1669,1353,69,25
Weg, 1750,1353,75,33
den 1841,1351,50,26
er 1907,1360,26,16
ging, 1947,1351,72,34
seit 2035,1350,48,25
er 2097,1359,27,16
diesen 1176,1392,88,25
Morgen 1279,1393,114,33
die 1408,1392,41,24
Kirche 1465,1391,96,25
verlassen 1576,1391,130,25
hatte. 1720,1390,78,26
<EOS>
Er 1815,1391,36,24
fühlte 1864,1389,84,26
sich 1963,1389,55,25
immer 2032,1389,93,24
noch 1176,1430,70,25
von 1263,1439,55,16
dem 1336,1430,59,25
dumpfen, 1413,1429,136,35
aber 1566,1429,62,25
zähen 1643,1428,83,27
Wissen 1744,1428,103,26
gehalten, 1864,1427,128,34
daß 2011,1427,50,24
ihn 2078,1426,46,25
etwas 1177,1474,78,20
anderes 1271,1468,106,25
als 1394,1468,34,25
bloße 1444,1467,80,26
Laune 1539,1468,88,24
oder 1643,1466,65,26
Zufall 1723,1466,86,25
ins 1824,1466,40,25
Haus 1880,1466,72,24
des 1969,1465,44,24
Bösen, 2029,1466,94,28
ins 1176,1506,40,25
Zauberschloß 1236,1506,195,25
der 1450,1505,46,25
gestiefelten 1514,1505,162,33
Katze 1694,1505,83,24
gelockt 1796,1503,106,35
hatte. 1919,1503,78,24
<EOS>
Er 2018,1503,36,24
war 2072,1510,53,17
immer 1177,1544,93,25
noch 1284,1544,71,25
auf 1370,1543,47,26
der 1430,1543,46,25
Flucht 1490,1543,92,25
vor 1598,1551,50,17
seinem 1664,1543,97,24
Hochmut 1776,1541,137,26
begriffen 1929,1540,126,34
und 2070,1538,55,27
suchte 1178,1582,89,25
die 1288,1582,41,25
Erlösung 1349,1582,133,33
in 1502,1582,27,24
einem 1549,1581,85,24
Bescheidensein, 1653,1579,225,31
das 1899,1578,44,26
nicht 1963,1578,72,25
einer 2056,1577,70,25
gewissen 1177,1620,128,33
spannenden 1319,1619,168,35
Wollüstigkeit 1502,1618,196,34
entbehrte. 1711,1617,142,26
<EOS>
Er 1869,1617,36,25
gab 1918,1615,51,35
sich 1983,1615,54,26
keine 2051,1615,75,25
Rechenschaft 1177,1656,190,26
darüber. 1378,1656,119,25
<EOS>
Doch, 1510,1656,88,31
daß 1610,1655,50,26
das, 1674,1655,53,31
was 1739,1664,53,16
er 1804,1664,27,16
durch 1843,1654,83,26
die 1938,1654,42,25
Oeffnung 1991,1654,134,32
erblicken 1179,1695,131,25
mußte, 1328,1695,99,31
in 1446,1695,28,25
irgendeinem 1491,1693,179,35
Zusammenhang 1690,1692,229,34
mit 1938,1692,47,24
den 2004,1691,51,25
Ge¬ 2074,1691,53,24
schehnissen 1178,1733,167,26
seines 1361,1733,81,25
eigenen 1459,1732,108,34
Daseins 1583,1731,109,25
stand, 1710,1730,83,31
schien 1810,1730,88,26
ihm 1913,1730,56,24
gleichsam 1985,1729,141,34
vorgesehen, 1178,1771,171,33
ja, 1367,1771,31,33
er 1416,1779,27,16
war 1459,1779,53,16
vorbehaltlos 1527,1769,178,26
geneigt, 1723,1769,113,34
sich 1854,1767,55,26
zu 1924,1775,33,17
fügen 1973,1767,83,34
und 2071,1765,55,26
jeden 1178,1808,75,34
Fingerzeig, 1268,1808,161,34
der 1446,1808,46,25
offenbar 1507,1807,116,26
wurde, 1638,1807,99,30
auf 1753,1806,48,25
sich 1814,1806,55,26
zu 1883,1814,33,16
beziehen 1931,1800,125,30
und 2071,1803,55,26
seinem 1179,1847,97,25
Sinn 1289,1847,62,25
gemäß 1363,1847,93,33
den 1469,1846,50,24
Weg 1532,1847,66,32
nach 1610,1845,66,24
Hause 1687,1846,88,23
zu 1786,1853,33,16
finden. 1830,1843,96,26
<EOS>
<EOP>
Doch, 1229,1885,88,31
was 1332,1893,51,17
kein 1400,1884,60,25
Zufall 1476,1883,85,26
ist, 1575,1884,41,30
braucht 1632,1883,110,25
deswegen 1756,1882,139,34
nicht 1909,1881,72,26
Wirkung 1997,1880,130,33
einer 1179,1923,70,24
Vorsehung 1262,1923,159,33
zu 1435,1930,33,16
sein. 1483,1922,62,25
<EOS>
Es 1561,1922,35,24
gibt 1611,1921,57,34
eine 1682,1921,57,25
Selbstverständlichkeit 1754,1919,314,27
des 2082,1918,45,24
Geschehens, 1179,1960,176,31
eine 1377,1961,56,24
Gesetzmäßigkeit, 1455,1959,248,33
die 1725,1958,40,26
sich 1786,1957,56,27
in 1861,1957,28,26
sich 1909,1957,54,26
selbst 1985,1956,79,26
be¬ 2083,1955,45,26
schränkt 1179,1998,121,26
und 1317,1997,55,27
vollzieht, 1388,1997,133,32
ohne 1539,1996,69,26
unserer 1625,2005,106,17
Wahrnehmung 1748,1996,215,33
als 1980,1995,36,24
geord¬ 2034,1993,93,35
nete 1178,2042,59,19
Regel 1250,2036,81,34
zu 1343,2045,32,16
erscheinen. 1389,2035,157,26
<EOS>
Der 1560,2035,55,25
Mann 1628,2035,83,24
merkte 1724,2034,99,25
nicht, 1836,2033,81,31
daß 1930,2033,50,24
er 1994,2040,27,17
gerade 2034,2030,94,36
darin 1179,2073,73,26
wiederum 1261,2073,142,26
seinem 1412,2073,98,26
Hochmut 1519,2073,136,25
erlag, 1664,2072,78,34
indem 1753,2071,89,25
er 1853,2079,27,17
die 1889,2071,41,25
Planlosigkeit 1940,2069,188,35
seines 1179,2112,82,25
Irrens 1272,2113,84,24
statt 1367,2118,60,18
der 1438,2111,46,25
eignen 1494,2112,94,33
Schwäche 1599,2110,139,25
dem 1748,2109,61,25
Willen 1819,2109,94,25
einer 1924,2109,70,25
fremden 2004,2107,123,26
Vorsehung 1179,2149,160,35
zuschrieb 1358,2149,136,25
und 1514,2148,55,25
so 1588,2157,30,16
auf 1634,2147,47,26
immer 1697,2148,92,25
unwegsameres 1808,2155,208,25
Gebiet 2033,2145,95,26
zulenkte. 1179,2188,128,24
<EOS>
Seine 1325,2187,75,26
Stärke 1413,2187,89,25
aber 1515,2186,60,25
war 1588,2195,53,16
der 1653,2185,45,26
Glaube 1712,2184,102,27
des 1827,2184,44,26
Blinden, 1885,2184,118,30
daß 2018,2184,50,24
alle 2081,2182,47,26
Wege 1181,2226,81,33
an 1282,2234,32,16
ein 1332,2226,41,24
Ende 1390,2224,75,26
oder 1482,2224,64,26
zum 1560,2232,61,17
Angesicht 1637,2223,146,34
einer 1801,2223,70,25
Gottheit 1887,2222,121,25
führen. 2024,2221,102,25
<EOS>
<EOP>
22. 1575,2299,40,23
<EOS>
Kapitel 1632,2298,189,25
Der 1495,2338,35,15
schwarze 1538,2337,80,16
Pan 1626,2337,34,15
und 1668,2336,35,16
die 1711,2336,26,16
Bank 1745,2336,47,15
der 1800,2335,29,17
Spötter 1837,2335,65,20
stellt 1269,2368,42,16
den 1320,2368,31,16
Mann 1360,2368,51,15
als 1420,2367,23,16
unsichtbaren 1450,2367,115,16
Zuschauer 1573,2366,93,17
vor 1676,2371,32,12
ein 1715,2366,27,17
Inferno, 1749,2366,73,19
in 1830,2366,17,16
welchem 1856,2366,79,16
sich 1943,2365,34,16
eine 1985,2366,36,15
Reihe 2028,2365,50,16
Vor¬ 2084,2365,45,16
gänge 1270,2397,53,19
abspielen, 1331,2395,87,21
die 1427,2394,26,16
ihn 1458,2394,28,16
und 1494,2394,35,16
seine 1537,2394,43,16
Lebenskreise 1589,2394,116,16
berühren. 1715,2393,85,16
<EOS>
Eine 1809,2394,41,14
lastende, 1859,2392,77,19
gleichsam 1945,2392,88,20
schicksal¬ 2041,2391,88,16
haft 1270,2422,34,16
waltende 1312,2421,80,17
Willenlosigkeit 1400,2421,135,21
hemmt 1543,2421,62,16
ihn, 1614,2421,34,18
einzugreifen, 1655,2420,116,21
selbst 1781,2420,49,15
da, 1839,2419,25,19
wo 1874,2425,27,10
er 1907,2424,17,10
es 1932,2424,16,10
mit 1957,2419,29,15
einem 1993,2419,53,15
einzigen 2053,2419,75,19
ausgestoßenen 1269,2448,130,20
Ruf 1408,2448,34,16
oder 1449,2448,40,16
Schrei 1499,2448,53,15
zu 1560,2453,20,10
tun 1589,2450,29,13
vermöchte. 1627,2447,100,15
<EOS>
An 1740,2446,27,15
Leib 1775,2446,40,16
und 1825,2446,33,16
Seele 1868,2445,43,16
gelähmt, 1924,2445,77,20
sieht 2013,2444,41,16
er, 2062,2449,22,15
wie 2098,2445,31,15
Erna 1270,2476,44,15
dem 1322,2475,38,16
schwarzen 1368,2474,93,16
Pan 1470,2474,32,16
verfällt 1511,2474,63,16
und 1583,2474,34,15
sich 1626,2473,33,16
in 1668,2473,17,15
taumelnder 1693,2472,102,16
Unbewußtheit 1801,2471,129,17
hingibt. 1938,2471,69,21
<EOS>
Er 2021,2471,23,16
gewahrt, 2050,2471,79,21
wie 1269,2502,31,15
sich 1309,2501,34,16
die 1351,2501,27,16
bösen 1386,2501,52,15
Gewalten 1446,2500,86,16
mit 1540,2500,29,15
List 1577,2500,34,15
und 1622,2499,35,16
Tücke 1665,2499,56,16
überbieten, 1731,2499,101,18
um 1845,2504,29,10
Brückmehl 1882,2498,98,16
in 1992,2499,16,14
ihre 2021,2498,35,15
Gewalt 2065,2497,64,16
zu 1269,2532,21,11
bekommen. 1301,2527,104,16
<EOS>
Was 1420,2527,37,16
bei 1466,2527,25,16
Erna 1500,2527,43,16
mit 1551,2526,30,16
Leichtigkeit 1588,2526,107,20
gelingt, 1703,2526,68,20
da 1785,2525,20,16
sie 1817,2525,22,16
sich 1854,2525,34,16
in 1897,2525,16,15
einem 1921,2524,53,16
Zustand 1984,2524,73,16
halben 2070,2524,59,15
Gelöstseins 1271,2554,101,16
vom 1381,2559,40,11
Hergebrachten, 1428,2554,138,20
bisher 1580,2553,54,16
für 1646,2553,27,15
sie 1686,2553,22,15
unantastbar 1720,2552,106,15
Geheiligten, 1835,2551,109,20
und 1956,2551,35,15
somit 2000,2551,48,16
willens¬ 2060,2550,69,16
mäßiger 1270,2581,73,21
Lockerung 1355,2581,99,20
befindet, 1466,2580,77,18
stößt 1556,2580,44,15
bei 1613,2579,25,16
Brückmehl 1651,2578,98,16
auf 1761,2578,28,16
den 1803,2578,32,16
planmäßigen 1847,2577,115,21
Widerstand 1971,2577,102,16
eines 2085,2577,44,15
in 1270,2608,17,15
sich 1295,2608,35,15
gefestigten 1342,2607,96,21
Charakters. 1448,2607,100,15
<EOS>
Umschmeichelt, 1561,2606,143,19
umworben, 1718,2605,102,19
weiß 1834,2604,42,16
er 1888,2609,18,11
sich 1918,2604,34,16
immer 1963,2604,59,16
wieder 2029,2604,61,16
auf 2101,2604,28,15
liebenswürdige 1270,2633,135,21
Weise 1415,2634,53,15
zu 1480,2638,20,10
entwinden. 1512,2632,99,16
<EOS>
Doch 1625,2632,49,16
auch 1682,2631,42,17
er 1731,2636,18,12
wird 1756,2631,42,17
schließlich 1807,2631,93,16
leidenderweise 1911,2631,131,15
ins 2051,2631,25,15
Spiel 2086,2630,44,20
des 1270,2661,30,15
Bösen 1311,2661,54,15
gezogen. 1378,2664,79,17
<EOS>
Zu 1474,2660,25,15
spät 1512,2661,36,19
bemerkt 1560,2659,73,16
er, 1645,2664,22,13
daß 1681,2658,31,16
sein 1725,2659,34,15
Verhalten 1768,2658,89,15
in 1869,2658,17,14
zweifacher 1898,2657,96,15
Hinsicht 2006,2657,77,15
von 2096,2662,33,10
Barbara 1270,2687,70,16
mißdeutet 1349,2686,89,17
worden 1444,2686,69,16
ist. 1521,2686,25,16
<EOS>
Vom 1557,2686,44,15
falschen 1610,2685,70,16
Schein 1689,2685,57,15
getäuscht, 1754,2684,91,20
hat 1854,2684,26,15
sie 1889,2684,22,15
geglaubt, 1920,2683,82,20
einen 2013,2683,48,15
heuch¬ 2069,2683,61,15
lerischen 1271,2714,79,15
Schöntuer 1360,2713,90,16
in 1462,2713,17,15
ihm 1489,2713,34,15
erkennen 1535,2711,83,16
zu 1630,2716,20,11
müssen. 1664,2714,70,13
<EOS>
In 1747,2711,19,15
ihrem 1780,2711,52,15
besten 1845,2710,57,15
Glauben 1910,2709,75,16
getäuscht, 1998,2709,90,20
tief 2101,2709,29,16
verletzt, 1271,2740,73,19
mit 1352,2739,30,16
der 1391,2740,29,15
ganzen 1427,2744,63,16
Voreiligkeit 1499,2738,107,21
jugendlicher 1615,2737,111,21
Entrüstung 1734,2738,103,20
ist 1849,2737,20,16
sie 1880,2736,22,17
vom 1911,2742,40,11
Platz 1959,2736,43,16
geflohen 2010,2736,77,20
und 2096,2736,33,16
unwiderruflich 1271,2765,133,17
verreist. 1412,2766,72,15
<EOS>
Brückmehl 1497,2765,98,15
hat 1603,2765,27,15
nur 1639,2769,31,11
noch 1681,2764,45,16
ein 1733,2764,26,15
betrübliches 1767,2764,109,15
Nachsehen 1885,2763,96,15
und 1990,2762,34,16
entschließt 2034,2762,96,16
sich 1272,2792,34,16
nun 1313,2798,35,10
