2312,3102
Ich 291,332,136,88
zentraler; 665,2663,133,30
das 808,2663,45,25
ist 862,2664,30,24
die 901,2662,40,26
Buchhand¬ 953,2662,154,26
lung 161,2713,63,33
der 232,2713,44,24
Zukunft. 285,2712,128,25
<EOS>
Um 422,2714,54,23
dem 485,2712,60,25
Rechnung 555,2713,144,33
zu 709,2723,32,14
tragen, 750,2720,97,26
hätten 856,2713,87,24
wir 953,2714,47,23
radikal 1009,2712,98,25
auf 161,2762,47,25
Electronic 218,2762,144,25
Publishing 377,2762,151,34
und 543,2762,54,25
Electronic 611,2762,143,25
Seils 770,2762,61,25
umstellen 847,2762,135,25
müssen. 997,2766,111,21
<EOS>
Weder 162,2812,91,25
meine 264,2813,84,24
Frau 358,2813,64,24
noch 433,2812,67,25
ich 511,2812,39,25
wollten 560,2812,103,25
diese 674,2812,67,25
Entwicklung 752,2812,184,34
mitgehen. 946,2812,138,34
<EOS>
<EOP>
Überschätzen 1167,1156,195,31
Sie 1372,1161,41,26
nicht 1424,1161,74,26
die 1507,1161,42,26
Bedeutung 1560,1160,156,34
des 1726,1160,48,26
Internets? 1785,1160,145,27
<EOS>
Das 1166,1213,53,24
ist 1231,1213,30,24
das 1272,1212,45,25
Geschäft 1328,1212,125,25
von 1463,1222,49,15
morgen. 1524,1222,114,23
<EOS>
An 1650,1212,43,24
der 1705,1212,44,25
diesjährigen 1760,1211,173,34
Frankfurtet 1943,1211,170,25
Buchmesse 1167,1262,155,25
wurde 1339,1262,90,25
dem 1447,1262,60,25
Hinterletzten 1526,1262,189,25
klar: 1732,1262,64,25
Wir 1814,1262,57,24
stehen 1889,1261,86,25
an 1994,1272,32,14
einer 2044,1262,68,24
Schwelle. 1166,1311,129,26
<EOS>
Im 1306,1313,39,24
Buchhandel 1356,1311,167,26
bricht 1533,1311,82,26
der 1624,1311,44,26
Mittelbau 1679,1311,134,26
allmählich 1823,1311,149,26
weg. 1981,1322,62,23
<EOS>
Was 2054,1312,59,24
bleibt, 1166,1361,85,32
sind 1262,1361,55,27
einerseits 1330,1363,128,25
die 1469,1361,41,26
mächtigen 1521,1361,147,34
Filialisten 1679,1361,138,26
und 1829,1361,54,26
andererseits 1895,1361,166,26
die 2073,1361,40,26
Spezialbuchhandlungen. 1166,1412,349,34
<EOS>
Die 1536,1413,48,25
Ketten 1603,1413,94,25
nehmen 1715,1411,113,27
uns 1847,1422,49,15
nur 1913,1422,49,15
Bestseller 1981,1411,131,26
und 1167,1462,53,26
bestsellerverdächtige 1232,1462,290,34
Titel 1534,1462,65,26
ab, 1612,1462,38,31
das 1662,1462,45,26
ist 1719,1463,29,25
höchstens 1759,1461,136,26
ein 1906,1463,41,24
Viertel 1958,1461,96,26
un¬ 2066,1472,46,15
seres 1166,1522,64,16
Angebots. 1246,1512,141,34
<EOS>
Der 1403,1513,53,25
Rest 1472,1513,59,25
fällt 1546,1511,53,27
durch. 1614,1511,88,27
<EOS>
Wenn 1717,1513,85,24
ausserdem 1817,1511,146,26
die 1979,1511,40,26
Sorti¬ 2035,1512,78,25
menter, 1166,1570,105,23
eben 1280,1562,65,26
der 1354,1562,45,26
Mittelbau, 1409,1562,143,31
verschwinden 1561,1561,193,27
— 1764,1579,18,2
was 1791,1572,51,16
eine 1852,1563,56,25
Tatsache 1918,1561,122,26
ist 2050,1563,29,24
—, 2088,1578,25,15
müssen 1166,1616,103,21
die 1280,1612,41,25
Verlage 1332,1612,105,34
auch 1447,1612,65,25
diese 1522,1612,69,25
Lücke 1601,1612,87,25
selber 1699,1612,80,25
füllen. 1790,1612,88,25
<EOS>
Und 1891,1612,60,25
die 1962,1612,40,25
einzige 2013,1613,100,33
Chance 1166,1663,105,25
bietet 1280,1662,75,26
das 1363,1663,45,25
Internet. 1418,1664,119,23
<EOS>
Dort 1546,1664,68,23
kann 1622,1662,72,25
man 1703,1672,62,15
mit 1774,1664,47,23
guten 1830,1670,79,26
Links 1919,1662,81,25
schwie¬ 2009,1662,104,25
rigere 1167,1714,79,33
Titel 1260,1713,66,25
unter 1341,1720,74,18
Umständen 1428,1712,165,26
auffangen. 1606,1712,148,34
<EOS>
Darum 1769,1714,105,23
ist 1888,1714,30,23
das 1931,1712,45,25
Netz 1990,1713,69,24
die 2073,1712,40,25
Buchhandlung 1167,1763,210,34
der 1388,1763,44,24
Zukunft. 1444,1762,127,25
<EOS>
Nehmen 1582,1762,125,25
Sie 1718,1764,40,23
die 1769,1762,40,25
Independent-Häuser 1821,1762,293,34
in 1166,1814,26,24
den 1208,1813,51,25
USA: 1275,1814,76,24
Die 1368,1814,50,24
verkaufen 1434,1812,139,26
übers 1589,1812,75,25
Internet 1681,1814,111,23
und 1808,1812,54,25
haben 1879,1812,84,25
sich 1980,1812,50,25
trotz 2047,1819,66,18
Krise 1167,1864,75,24
einigermassen 1256,1864,199,33
und 1470,1862,54,26
mit 1539,1864,47,24
schmalen 1599,1862,132,26
Programmangeboten 1745,1862,301,35
hal¬ 2060,1862,53,25
ten 1167,1921,41,17
können. 1223,1913,112,25
<EOS>
Ich 1351,1913,43,26
meine 1408,1914,85,24
übrigens, 1507,1913,129,33
dass 1650,1913,58,25
selbst 1722,1913,75,25
ein 1811,1913,42,25
Verlag 1867,1913,91,33
wie 1973,1913,48,25
Suhr¬ 2036,1913,77,25
kamp 1167,1963,79,33
mit 1259,1964,47,24
seinem 1319,1964,97,24
anspruchsvollen 1428,1963,226,33
Angebot 1666,1963,122,33
noch 1800,1963,67,25
zu 1880,1973,33,15
stark 1926,1963,68,25
auf 2007,1962,48,26
den 2063,1962,50,26
traditionellen 1167,2013,187,26
Buchhandel 1372,2013,169,25
setzt. 1560,2020,70,18
<EOS>
Diese 1649,2014,77,24
konservative 1745,2013,174,25
Ausrichtung 1938,2013,176,33
dürfte 1167,2062,85,26
für 1264,2062,42,26
die 1317,2062,40,26
Zukunft 1368,2062,121,26
ein 1499,2064,42,24
Fehler 1551,2062,90,26
sein. 1652,2063,61,25
<EOS>
<EOP>
Man 1166,2164,63,25
sprach 1239,2162,95,34
an 1346,2170,35,19
der 1393,2162,46,27
diesjährigen 1448,2162,176,34
Buchmesse 1636,2162,157,27
auch 1803,2162,70,27
viel 1885,2162,49,26
vom 1944,2170,57,18
Verschwinden 1168,2212,196,27
des 1375,2212,47,27
papierenen 1432,2212,161,33
Zeitalters. 1603,2212,141,27
<EOS>
Diesbezüglich 1167,2263,200,34
stehen 1377,2263,86,26
wir 1475,2265,46,24
genauso 1532,2273,112,24
an 1654,2273,33,16
einer 1698,2264,68,24
Schwelle. 1777,2262,130,27
<EOS>
Vieles, 1918,2262,91,32
was 2019,2272,52,16
an 2081,2272,33,16
E-Books 1167,2313,122,25
und 1298,2313,55,25
dergleichen 1362,2313,160,34
auf 1532,2313,48,25
den 1585,2313,50,25
Markt 1646,2313,88,25
kommt, 1743,2313,110,31
ist 1864,2314,29,24
noch 1902,2312,67,26
nicht 1979,2312,70,26
aus¬ 2057,2322,57,16
gereift; 1166,2363,99,35
alle 1275,2363,47,26
in 1334,2365,25,24
der 1370,2363,45,26
Branche 1426,2363,115,25
sind 1551,2363,57,25
verunsichert. 1619,2363,180,25
<EOS>
Das 1811,2365,54,23
schöne 1876,2363,93,25
papierene 1980,2364,134,33
Buch 1168,2413,71,25
wird 1251,2413,66,25
sich 1329,2413,51,25
garantiert 1392,2415,140,32
halten, 1543,2413,94,30
aber 1649,2413,60,25
wohl 1721,2413,68,25
stark 1803,2413,67,25
redimensioniert. 1884,2413,229,25
<EOS>
Es 1167,2464,33,24
hat 1210,2463,43,25
ja 1262,2464,22,32
klare 1295,2463,70,25
Vorteile: 1374,2462,118,26
Mit 1503,2464,49,24
Kindles 1561,2462,109,26
und 1680,2462,54,26
ähnlichen 1744,2462,137,26
Geräten 1891,2463,112,25
ist 2013,2463,30,25
man 2052,2472,62,16
von 1167,2523,49,14
Strom 1229,2514,86,23
und 1329,2512,54,25
Aufladegetäten 1397,2512,216,34
abhängig. 1626,2512,136,34
<EOS>
Das 1776,2514,54,23
Buch 1844,2512,70,25
ist 1928,2514,29,23
und 1970,2512,54,25
bleibt 2038,2512,77,25
das 1167,2562,45,25
freiheitlichste 1223,2562,188,25
Wort-Transportmittel. 1422,2562,315,34
<EOS>
Welche 1168,2661,100,26
Veränderung 1280,2661,184,34
in 1475,2661,25,26
der 1511,2661,47,26
Buchbranche 1567,2661,189,26
beklagen 1766,2661,131,34
Sie 1908,2660,41,27
am 1167,2719,43,18
meisten? 1222,2711,128,26
<EOS>
Ich 1168,2762,41,25
vermisse 1219,2764,119,23
die 1347,2762,41,25
intellektuelle 1397,2762,179,25
Auseinandersetzung, 1586,2762,295,33
die 1891,2761,39,25
vibrierenden 1941,2761,174,25
Einwürfe. 1168,2812,141,25
<EOS>
In 1320,2813,29,24
Frankreich 1358,2812,157,25
ist 1525,2813,29,24
das 1564,2812,45,25
anders, 1619,2812,100,30
dort 1729,2812,57,25
gibt 1796,2812,54,34
es 1859,2822,25,14
noch 1895,2811,66,25
Köpfe, 1971,2811,93,34
die 2074,2811,41,25
<EOS>
<EOP>
Egon 163,2958,54,27
Ammann, 227,2958,111,24
November 350,2957,117,22
2009 477,2958,61,21
<EOS>
<EOP>
