2280,3100
14- 146,88,39,23
<EOS>
<EOP>
Trotz 196,1120,77,22
cler 300,1120,46,22
weiten 376,1121,94,23
Ausdehnung, 494,1120,188,30
welche 711,1120,101,25
diesem 841,1120,101,23
Wett¬ 967,1121,81,22
bewerb 106,1158,112,23
nachträglich 240,1158,184,28
gegeben 447,1159,122,28
worden 592,1158,108,22
war. 721,1165,61,17
<EOS>
liefen 805,1158,79,23
innert 902,1158,84,22
der 1001,1158,47,22
ausgesetzten 107,1199,181,26
Einlieferungsfrist 312,1195,260,31
im 597,1195,35,23
ganzen 661,1202,99,22
nur 787,1204,50,15
19 862,1202,29,23
Entwürfe 914,1195,134,23
ein, 108,1234,49,27
von 188,1240,52,16
welchen 272,1234,119,22
das 425,1234,47,22
aus 504,1240,45,16
den 582,1234,50,22
Uli. 660,1234,56,22
<EOS>
Arch. 749,1234,77,22
<EOS>
André. 856,1232,97,24
<EOS>
Prof. 975,1234,71,22
<EOS>
Bluntschli. 106,1270,156,24
<EOS>
Arch. 285,1271,79,22
<EOS>
Ilelmer. 389,1271,118,24
<EOS>
Stadtpräsident 529,1271,217,29
Pestalozzi, 763,1271,154,27
Kapell¬ 939,1271,109,29
meister 106,1309,112,22
Dr. 246,1308,44,22
<EOS>
Ilcgar, 328,1309,99,30
Tonhalle-Verwalter 455,1308,299,25
Hindermann 781,1308,187,26
und 995,1309,51,22
Arch. 106,1346,79,23
<EOS>
Châtelain 210,1345,138,23
(an 371,1345,40,32
Stelle 425,1346,82,23
des 530,1345,45,23
ablehnenden 598,1345,186,25
Hrn. 803,1348,62,21
<EOS>
Prof. 882,1345,67,23
<EOS>
Auer) 969,1344,78,32
bestehende 106,1383,165,23
Preisgericht 293,1383,179,29
nachfolgende 494,1383,194,29
auszeichnete: 711,1385,195,22
<EOS>
<EOP>
Mit 196,1421,47,22
einem 266,1421,85,22
ersten 384,1425,86,19
Preis 494,1422,74,22
von 590,1427,51,17
5000 665,1428,70,20
Fr. 758,1422,40,22
<EOS>
den 822,1422,48,22
des 894,1421,46,23
Herrn 963,1422,85,22
Arch. 106,1460,79,22
<EOS>
Bruno 218,1458,85,23
Schmitz 334,1458,116,24
in 480,1460,23,21
Berlin, 534,1459,102,22
mit 664,1459,48,22
einem 745,1461,84,21
zweiten 857,1459,111,22
von 996,1466,52,16
2500 109,1503,70,19
Fr. 203,1496,41,22
<EOS>
den 268,1495,50,23
des 341,1495,46,23
Herrn 404,1497,86,22
Arch. 508,1497,76,21
<EOS>
Kuder 603,1496,91,23
in 710,1497,23,22
Strassburg 750,1496,160,30
und 931,1496,50,22
mit 1001,1498,46,21
einem 108,1535,87,21
dritten 218,1532,97,23
von 332,1540,51,16
1500 402,1540,68,21
Fr. 486,1534,41,22
<EOS>
den 549,1533,48,22
des 621,1533,46,22
Herrn 683,1534,86,23
Prof. 786,1534,69,24
<EOS>
G. 874,1534,30,23
<EOS>
Frentzen 920,1534,128,23
in 106,1572,25,22
Aachen. 150,1571,114,23
<EOS>
Ferner 308,1571,101,22
wurden 430,1571,111,24
Ehrenmeldungen 558,1566,252,37
zuerkannt 832,1571,143,23
den 998,1572,49,22
Entwürfen 106,1609,153,23
der 295,1608,48,23
IUI. 370,1609,58,23
<EOS>
Architekten 458,1609,172,23
Chioderà 660,1610,134,22
& 823,1610,19,22
Tschudy 870,1609,123,29
in 1023,1610,24,22
Zürich, 106,1646,104,27
Arch. 232,1646,80,23
<EOS>
Karch 329,1647,88,22
in 435,1648,25,22
Mannheim 476,1647,151,23
und 644,1646,53,23
Eugen 712,1648,89,29
Meyer 817,1647,91,29
in 924,1648,23,22
Paris. 963,1648,83,22
<EOS>
Die 106,1685,50,22
schweizerische 178,1684,220,22
Architektenschaft 415,1683,262,24
stand 695,1685,75,22
bei 788,1686,43,22
diesem 848,1685,99,22
Wctt- 964,1685,83,22
k'arnpf 104,1720,98,31
leider 221,1720,85,23
ziemlich 327,1721,123,23
im 472,1722,37,22
Hintertreffen, 526,1721,200,27
indem 748,1722,89,24
nur 860,1729,49,16
die 930,1722,42,22
Hfl. 988,1723,58,22
<EOS>
Arch. 105,1759,78,24
<EOS>
Kuder, 208,1759,99,28
Chioderà 331,1759,135,23
A 488,1760,19,22
Tschudy 528,1759,123,28
und 673,1759,52,23
Meyer 748,1761,91,27
zu 859,1767,30,15
Auszeich¬ 908,1760,140,22
nungen 104,1803,103,23
gelangten. 231,1797,152,28
<EOS>
<EOP>
Der 196,1834,55,23
zweite 271,1835,92,22
Wettbewerb 377,1834,186,24
hatte 586,1835,71,22
in 681,1835,23,21
der 727,1834,47,24
Form, 793,1836,88,26
in 904,1836,24,22
der 952,1835,45,23
er 1020,1842,27,16
ausgeschrieben 106,1872,227,30
wurde, 363,1873,102,28
und 495,1872,51,23
mit 577,1872,48,22
cler 654,1871,47,23
Ausdehnung, 730,1873,188,28
die 947,1873,43,22
er 1019,1880,29,16
schliesslich 105,1909,167,23
genommen 288,1916,162,22
hatte, 464,1911,81,26
eigentlich 559,1909,144,29
keinen 715,1909,94,24
rechten 820,1910,108,23
Zweck: 941,1910,105,24
denn 106,1946,68,24
einerseits 204,1946,138,23
waren 372,1953,88,17
die 490,1947,43,23
Abänderungen 555,1946,218,30
gegenüber 802,1948,156,30
dem 986,1948,60,23
ersten 106,1989,87,18
keine 222,1984,77,23
wesentlichen, 328,1985,197,23
anderseits 555,1984,149,23
wurde 726,1985,90,22
die 844,1985,41,22
Erfüllung 907,1985,140,30
des 105,2022,47,22
ziemlich 179,2022,123,22
weitgehenden 331,2023,204,28
Bauprogrammes 561,2022,248,29
erheblich 838,2023,137,23
er¬ 1006,2030,40,16
schwert, 104,2060,124,27
wo 244,2066,42,15
nicht 309,2060,71,22
unmöglich 402,2060,158,30
gemacht, 581,2060,132,29
durch 729,2059,83,24
die 829,2061,43,22
verhältnis¬ 887,2062,159,22
mässig 104,2097,102,29
knapp 235,2096,88,30
bemessene 352,2097,155,23
Bausumme. 530,2097,171,23
<EOS>
Der 743,2098,54,23
letztere 818,2099,107,22
Uebel- 948,2099,97,24
stand 104,2134,77,23
führte 204,2134,87,22
dazu, 314,2134,72,23
dass 407,2134,60,23
kaum 483,2135,79,22
irgend 580,2134,93,30
eines 692,2135,70,23
der 778,2136,48,23
eingelieferten 843,2136,203,29
Projekte 102,2172,127,30
ohne 259,2173,68,22
Abänderung 350,2173,181,28
zur 559,2179,46,16
festgesetzten 630,2172,184,30
Summe 837,2173,110,24
hätte 975,2174,71,23
ausgeführt 104,2209,158,30
werden 288,2210,108,22
können. 420,2211,108,23
<EOS>
Bei 572,2211,44,22
allen 638,2211,71,22
Arbeiten, 732,2211,135,23
bei 897,2211,41,23
denen 962,2211,84,23
das 104,2248,47,23
Bestreben 173,2247,146,24
bemerkbar 341,2248,165,23
war. 529,2254,63,16
<EOS>
die 622,2248,43,22
Bausumme 687,2248,161,24
einzuhalten, 870,2249,174,29
gelangte 102,2286,128,29
dieser 260,2284,88,23
Uebelstand 372,2285,163,23
zum 563,2292,58,15
Ausdruck 645,2285,141,24
und 814,2286,51,23
sogar 895,2293,80,23
der 999,2287,47,23
Entwurf 102,2322,122,24
von 245,2329,51,16
Bruno 313,2322,87,23
Schmitz 417,2322,116,25
musste 549,2325,100,20
aus 665,2329,46,16
den 727,2323,49,24
erwähnten 793,2324,152,23
Rück¬ 960,2324,85,23
sichten 102,2361,103,23
hinter 228,2361,87,22
dessen 337,2360,93,23
schönem 453,2361,128,22
ersten 602,2364,85,19
Projekte 704,2361,123,31
zurückstehen. 843,2361,201,24
<EOS>
<EOP>
Auf 193,2398,54,23
die 274,2398,42,23
einzelnen 340,2399,133,22
Entwürfe 495,2397,134,24
näher 651,2399,81,22
einzutreten, 754,2400,170,22
würde 953,2399,91,23
zu 102,2443,29,16
weit 155,2437,63,21
führen 240,2436,96,22
und 358,2436,53,22
noch 433,2437,68,23
weniger 524,2436,119,29
angebracht 665,2437,164,28
sein, 851,2438,64,25
als 941,2438,39,22
bei 1002,2438,44,22
der 103,2473,47,23
Besprechung 178,2474,191,29
der 404,2473,48,23
ersten 489,2476,87,20
Preisbewerbung. 607,2474,247,30
<EOS>
Der 903,2475,54,23
seit¬ 985,2476,60,22
her 102,2511,47,22
verflossene 171,2510,163,24
Zeitraum 356,2511,133,24
ist 513,2511,33,23
so 567,2518,28,16
kurz, 618,2510,69,25
dass 718,2511,59,25
wir 800,2514,50,22
zu 871,2520,29,15
der 923,2513,47,22
An¬ 994,2515,51,21
nahme 102,2548,96,23
berechtigt 214,2549,153,29
sind, 383,2549,67,24
die 467,2549,42,23
Erinnerung 525,2549,167,29
an 707,2556,30,15
diesen 754,2549,90,24
Wettbewerb 859,2551,185,22
und 102,2586,51,22
an 187,2592,32,17
die 251,2587,42,22
daraus 325,2587,97,23
hervorgegangene 454,2588,263,28
engere 750,2593,98,25
Konkurrenz 870,2587,174,23
zwischen 102,2624,131,22
der 246,2624,47,22
Firma 305,2624,90,23
Fellner 408,2625,109,23
A 527,2626,18,21
Helmer 555,2625,112,22
und 678,2625,52,22
Professor 743,2625,143,24
Bluntschli 897,2626,147,22
sei 102,2661,38,22
noch 161,2661,67,22
lebhalt 251,2661,103,23
genug. 370,2669,94,23
<EOS>
Wer 499,2663,64,22
sich 578,2663,55,22
sjueciell 650,2663,112,29
dafür 778,2664,77,22
interessiert, 872,2664,171,22
den 102,2698,51,23
möchten 176,2698,124,23
wir 317,2700,49,22
auf 383,2700,45,23
den 441,2700,48,24
Jahrgang 507,2700,134,30
1892*) 660,2697,91,34
unserer 768,2708,110,17
Zeitschrift 892,2701,152,23
verweisen, 102,2736,157,23
in 284,2736,23,22
welchem 324,2737,130,23
die 478,2738,41,23
betreffenden 542,2738,186,23
Vorgänge 741,2739,144,30
sehr 908,2739,61,22
ein- 991,2739,53,22
lässlich 101,2774,107,23
geschildert 237,2774,165,27
sind. 424,2776,66,22
<EOS>
Auch 533,2776,74,22
die 630,2775,42,23
erwähnte 695,2777,136,22
engere 853,2783,97,19
Kon- 972,2776,72,23
<EOS>
<EOP>
*) 191,2852,22,28
Bd. 229,2854,39,20
<EOS>
XIX 287,2855,52,19
S. 356,2856,20,18
<EOS>
76: 395,2855,35,24
Si. 452,2856,34,18
<EOS>
82, 510,2854,34,28
SS. 563,2856,34,19
<EOS>
97. 616,2861,33,20
<EOS>
99, 668,2862,34,19
101. 721,2862,48,14
<EOS>
110. 102,2898,48,15
<EOS>
115. 171,2897,47,21
<EOS>
126, 239,2891,48,22
131, 306,2897,47,20
134. 373,2897,48,20
<EOS>
139. 441,2899,48,19
<EOS>
145. 508,2898,47,20
<EOS>
<EOP>
Bd. 803,2858,38,19
<EOS>
XX 859,2858,40,18
100. 924,2862,47,14
<EOS>
102, 997,2862,46,17
<EOS>
<EOP>
kurrenz 1096,145,111,23
krankte 1229,146,111,22
an 1363,152,31,16
dem 1417,146,60,22
nämlichen 1497,146,151,23
Gebrechen 1665,146,158,24
cler 1840,147,46,22
zu 1902,153,29,15
knapj} 1947,146,90,30
bemessenen 1096,183,174,23
Bausumme. 1303,184,170,23
<EOS>
Das 1526,184,53,22
bezügliche 1615,184,155,28
Gutachten 1807,185,148,23
der 1990,185,48,22
Akademie 1096,221,146,23
des 1272,221,45,22
Bauwesens 1341,222,159,22
sagt 1529,224,58,26
hierüber 1615,222,127,22
wörtlich 1764,223,122,22
(Bd. 1911,218,56,34
<EOS>
XX 1991,223,45,22
S. 1096,257,24,25
<EOS>
10S): 1141,260,74,27
-Schliesslich 1240,258,187,23
kann 1456,259,67,22
die 1554,258,41,23
Akademie 1619,259,148,23
nicht 1788,261,71,22
verhehlen, 1882,260,153,23
dass 1096,295,60,23
ihr 1176,296,39,22
bei 1231,297,42,21
genauer 1295,303,117,21
Einsichtnahme 1429,296,215,23
der 1659,296,48,23
Projekte 1723,297,124,31
die 1863,297,42,22
Forder¬ 1922,296,113,25
ungen 1096,340,86,24
des 1206,334,45,22
Programmes 1273,334,192,28
wohl 1488,334,68,22
nicht 1582,334,71,22
im 1675,334,34,22
richtigen 1733,335,131,29
Verhältnis 1887,334,149,25
zu 1096,378,28,16
den 1147,372,49,23
gebotenen 1219,372,150,28
Geldmitteln 1387,372,178,22
zu 1588,378,29,16
stehen 1640,372,90,22
scheinen, 1753,373,133,22
und 1908,373,50,22
dass 1977,373,59,22
es 1096,415,27,17
zur 1151,416,44,16
Erlangung 1218,410,153,28
eines 1400,409,70,23
vollkommenen 1499,409,219,23
Baues 1748,410,82,23
erforderlich 1861,410,175,23
sein 1096,447,54,22
dürfte, 1168,446,94,28
entweder 1280,446,136,23
die 1433,446,42,23
Forderungen 1488,446,193,30
etwas 1698,450,83,19
herabzustimmen 1793,448,243,23
oder 1096,484,66,22
die 1184,483,42,23
Baumittel 1249,484,140,22
etwas 1415,489,82,18
zu 1518,491,29,15
erhöhen." 1571,484,144,22
<EOS>
<EOP>
Durch 1185,522,90,22
den 1295,522,50,22
nachherigen 1361,521,181,32
freiwilligen 1560,522,171,27
Rücktritt 1748,523,131,22
des 1891,522,45,23
Herrn 1951,523,84,22
Professor 1096,558,140,24
Bluntschli. 1251,560,154,23
<EOS>
der. 1430,559,55,24
<EOS>
wie 1503,560,48,22
wir 1569,560,48,22
ausdrücklich 1638,559,187,24
hervorheben 1849,560,186,23
wollen, 1097,598,105,26
auf 1216,596,47,24
Vorschlag 1271,596,151,31
des 1436,597,46,23
hiesigen 1494,597,117,29
Ingenieur- 1626,598,151,28
und 1791,599,49,22
Architekten- 1853,598,182,23
Vereins 1096,633,112,24
gewählt 1216,635,116,28
wurde, 1338,634,98,24
blieb 1444,636,75,22
d 1529,634,13,22
ieWiene 1549,635,119,22
r 1674,642,11,15
Firma 1692,635,90,23
Fei 1790,636,44,22
ln 1841,637,23,22
er 1869,642,27,16
X 1903,636,17,22
Ilei 1926,636,49,22
mer 1981,643,56,15
als 1097,672,39,21
Siegerin 1165,672,121,28
auf 1318,672,46,22
dem 1391,672,60,23
Kampfplatz. 1481,672,180,29
<EOS>
Dieser 1703,672,96,24
Ausgang 1826,675,127,27
war 1982,679,55,18
durchaus 1097,708,132,24
im 1256,710,34,22
Sinne 1313,710,78,22
cler 1421,710,46,22
massgebenden 1489,710,214,29
Mitglieder 1726,710,153,30
des 1901,710,45,22
Ton¬ 1969,710,67,25
halle-Vorstandes 1096,745,252,25
und 1380,748,51,22
wenn 1464,755,74,15
ihre 1573,748,54,22
Taktik 1657,748,95,22
darauf 1784,748,96,23
gerichtet 1905,748,131,29
war. 1098,791,62,16
<EOS>
nach 1183,785,65,21
und 1272,785,50,22
nach 1346,785,65,22
jeden 1433,784,77,31
anderen 1527,785,116,23
Bewerber 1659,786,140,23
wegzudrängen, 1815,786,220,29
so 1097,827,27,16
hat 1149,822,42,22
dieselbe 1216,821,119,23
einen 1359,823,73,22
vollkommenen 1455,823,220,23
Erfolg 1699,823,93,29
errungen. 1814,830,140,23
<EOS>
<EOP>
Miscellanea. 1448,908,233,29
<EOS>
Die 1189,971,36,22
Pariser 1245,971,91,23
Stadtbahn. 1354,972,132,24
<EOS>
Die 1513,975,41,19
für 1571,975,32,18
das 1621,975,36,18
Jahr 1673,975,51,25
1900 1743,980,56,19
geplante 1817,975,100,27
Weltaus¬ 1935,975,103,22
stellung 1096,1009,91,27
in 1206,1011,18,18
Paris 1243,1010,57,20
scheint 1317,1010,81,21
die 1415,1011,33,19
auf 1466,1013,36,18
unbestimmte 1516,1012,149,20
Zeit 1686,1013,44,18
ausgesetzte 1747,1016,130,24
Frage 1896,1013,67,27
einer 1980,1013,57,20
Stadtbahn 1096,1046,118,22
der 1231,1047,37,20
Erledigung 1285,1047,134,27
näher 1430,1051,68,17
zu 1514,1057,24,12
bringen. 1554,1049,98,26
<EOS>
Der 1678,1051,44,17
Minister 1735,1050,95,23
der 1847,1051,37,18
öffentlichen 1901,1051,136,19
Arbeiten 1096,1085,100,21
hat 1215,1085,34,19
namlieh 1267,1086,91,19
mit 1377,1087,34,18
den 1429,1086,41,21
fünf 1487,1086,46,21
grossen 1549,1093,86,20
Eisenbahnen, 1654,1086,158,29
welche 1830,1088,78,21
von 1925,1096,39,11
Paris 1979,1090,58,18
auslaufen, 1096,1123,115,25
einen 1227,1124,61,18
Konzessions-Vertrag 1301,1124,245,26
abgeschlossen, 1563,1124,171,28
welcher 1751,1126,91,20
u. 1859,1133,18,12
<EOS>
a. 1888,1133,18,12
<EOS>
bestimmt, 1924,1126,114,28
dass 1095,1159,49,21
sich 1159,1161,44,19
die 1220,1161,34,18
fünf 1273,1160,45,20
Gesellschaften 1328,1162,166,20
/.um 1506,1168,45,14
<EOS>
Zwecke 1564,1162,89,19
der 1670,1162,37,19
Anlage 1720,1162,83,28
und 1819,1164,42,19
des 1879,1163,36,20
Betriebes 1928,1164,108,20
der 1096,1197,38,21
Stadtbahn 1150,1197,118,22
zu 1289,1206,22,12
einer 1334,1206,57,12
ein/igen 1414,1200,96,25
Unternehmung 1527,1200,176,25
verbinden, 1726,1201,124,26
und 1874,1201,42,19
dass 1939,1201,46,19
die 2002,1202,35,19
Konzession 1096,1236,132,20
lür 1240,1238,33,18
Jede 1284,1237,48,23
der 1341,1237,37,19
vereinigten 1391,1238,133,25
Gesellschaften 1534,1237,167,20
zu 1715,1245,22,11
der 1747,1238,37,19
Zeit 1794,1240,43,18
endet, 1849,1239,70,25
wenn 1930,1246,61,12
die 2003,1240,34,18
Konzession 1095,1274,134,20
lür 1246,1275,31,19
ihr 1294,1275,32,19
Hauptnetz 1337,1275,120,25
ablauft. 1474,1276,87,19
<EOS>
Die 1588,1276,39,18
definitiv 1644,1275,95,20
konzessionierten 1756,1276,193,20
Linien 1962,1278,76,19
hallen 1096,1311,68,20
eine 1191,1312,48,19
Gesamtlänge 1256,1311,153,28
von 1434,1319,41,15
14 1503,1319,25,19
km, 1540,1313,47,26
in 1610,1314,18,18
welcher 1652,1314,90,18
die 1765,1314,33,19
Anschlüsse 1817,1314,127,20
an 1960,1322,25,12
die 2003,1316,34,18
Ringbahn 1097,1349,113,27
und 1229,1350,42,19
die 1283,1350,34,19
notwendigen 1328,1350,152,28
Gleisverdoppelungen 1494,1350,249,28
nicht 1757,1351,57,21
einbegriffen 1827,1352,138,25
sind. 1983,1353,53,19
<EOS>
Diese 1096,1387,64,19
Linien 1170,1388,78,19
sind 1265,1388,46,18
teils 1329,1389,46,17
auf 1391,1388,37,19
einem 1443,1389,67,19
eisernen 1529,1389,95,19
Unterbau 1637,1389,107,20
oder 1756,1389,52,20
Damm 1819,1390,77,19
(3,72 1913,1389,61,27
knù. 1983,1389,54,22
<EOS>
teils 1096,1425,45,19
in 1151,1425,21,19
einem 1189,1424,68,20
gemauerten 1269,1429,137,21
Einschnitt 1419,1423,119,23
(0.9S5 1550,1425,73,27
<EOS>
km), 1637,1425,55,27
teils 1705,1426,46,19
unterirdisch 1765,1427,140,20
("9,08 1918,1427,60,27
km) 1988,1428,49,27
entworfen. 1096,1461,123,22
<EOS>
Die 1256,1462,40,19
Beleuchtung 1321,1463,145,26
der 1488,1465,38,18
Wagen 1549,1464,83,25
geschieht 1656,1463,109,27
mittelst 1787,1466,85,19
Elektricität. 1897,1466,140,22
<EOS>
Die 1095,1499,41,20
unter 1152,1504,61,15
Vorbehalt 1238,1499,118,21
konzessionierten 1376,1501,195,20
Linien 1588,1502,76,18
haben 1687,1501,67,21
ebenfalls 1781,1503,101,19
eine 1900,1504,46,18
Länge 1963,1505,74,25
von 1096,1544,41,13
14 1157,1543,26,19
km. 1194,1538,46,19
<EOS>
docli 1257,1538,55,19
betragen 1336,1538,104,26
die 1463,1540,33,18
Baukosten 1513,1539,122,20
nur 1653,1546,39,12
65 1709,1539,25,26
Millionen 1753,1540,111,20
Fr. 1880,1541,33,20
<EOS>
während 1936,1542,102,18
die 1096,1576,35,18
Herstellung 1147,1575,137,26
der 1300,1576,39,18
definitiv 1355,1576,94,19
konzessionierten 1466,1576,193,20
Linien 1676,1576,78,20
auf 1770,1578,38,20
Ioo 1824,1583,40,15
Millionen 1881,1578,110,20
Fr. 2005,1580,32,19
<EOS>
veranschlagt 1096,1613,149,24
ist. 1267,1613,30,19
<EOS>
Die 1330,1614,40,18
Linien 1393,1614,75,19
müssen 1492,1616,83,17
doppeltes 1599,1614,111,27
Gleis 1735,1615,57,20
haben 1814,1615,70,23
bei 1910,1616,33,19
einem 1968,1617,69,20
kleinsten 1096,1650,104,20
Krümmungshalbmesser 1217,1651,278,25
von 1516,1658,41,12
150 1577,1656,40,20
m 1637,1659,23,11
und 1681,1653,43,18
einer 1741,1653,57,19
grössten 1819,1656,96,23
.Steigung 1934,1655,104,26
<EOS>
von 1096,1695,42,14
25°oo- 1159,1687,78,28
Das 1269,1689,44,19
Gewicht 1338,1689,96,19
der 1456,1690,38,19
Schienen 1516,1689,106,20
rauss 1639,1696,56,13
mindestens 1711,1690,129,20
42 1856,1697,28,18
kg 1896,1691,31,27
für 1942,1692,32,19
I 1993,1698,8,13
m 2014,1699,23,13
betragen. 1096,1727,108,26
<EOS>
Der 1229,1727,44,18
Perron 1285,1727,79,18
der 1378,1726,37,19
Stationen 1427,1727,109,20
muss 1548,1733,56,13
mit 1621,1728,37,18
dem 1674,1727,49,20
Fussboden 1734,1728,124,20
der 1869,1729,39,19
Personen¬ 1919,1730,118,19
wagen 1096,1770,75,20
in 1190,1765,20,18
gleicher 1226,1764,96,26
Flöhe 1342,1764,64,19
liegen. 1422,1764,77,26
<EOS>
Die 1532,1764,39,19
Einrichtung 1594,1765,142,26
der 1759,1765,37,20
Lokomotiven 1819,1768,157,18
soll 1998,1768,39,18
den 1096,1802,40,20
Betrieb 1149,1803,85,19
unter 1251,1806,60,15
befriedigenden 1323,1802,176,26
Bestimmungen 1514,1803,172,24
gewährleisten 1698,1803,164,25
und 1880,1804,41,19
in 1934,1805,20,19
erster 1972,1808,66,17
Linie 1094,1841,61,18
mit 1173,1841,36,18
Rücksicht 1234,1840,114,18
auf 1372,1840,36,18
das 1431,1840,36,19
Entweichen 1487,1840,135,19
von 1648,1847,40,11
