1970,2898
grosse 70,106,77,20
die 250,404,36,22
Betrachtung 301,405,154,26
des 472,405,38,21
Bauwerks 527,405,122,22
als 665,405,33,21
ein 714,404,37,22
systematisches 767,403,180,28
«Gewebe» 71,438,136,22
von 218,445,47,15
Funktion, 276,438,124,27
Material 414,439,106,21
und 531,439,48,21
Prozess 590,439,93,22
davon, 695,438,84,26
dass 791,438,52,22
ein 854,437,38,22
den 903,437,44,22
heutigen 69,471,106,27
Umständen 188,472,144,22
entsprechendes 343,472,188,27
Denken 543,472,98,22
in 653,472,23,22
konstruktiven 687,472,174,22
Syste¬ 874,472,73,25
men 69,511,54,16
gepflegt 138,505,97,27
wird. 252,505,63,23
<EOS>
Statische 334,505,110,23
Systeme, 461,506,107,27
Trenn-Systeme 587,506,186,26
und 789,506,48,21
Versor¬ 853,505,94,22
gungs-Systeme 69,539,183,27
bilden 276,539,77,22
die 373,539,37,22
Konzentrations-Punkte 430,539,293,23
des 743,540,39,22
technischen 803,538,144,23
Unterrichts 69,572,144,23
und 223,573,48,22
sind 282,573,51,22
auch 343,573,59,22
in 413,573,24,22
vielen 448,573,72,22
Arbeiten 530,573,109,22
Ausgangspunkt 650,573,195,26
für 854,572,38,22
den 903,572,44,22
Entwurf. 69,607,110,22
<EOS>
Vielleicht 191,607,118,22
ist 320,607,30,22
die 361,607,37,22
erfolgreiche 409,607,146,27
Auseinandersetzung 567,607,252,26
britischer 830,606,117,23
Architekten 69,640,149,23
mit 225,641,43,22
den 276,642,44,21
Problemen 329,641,135,22
der 473,642,39,21
Standardisierung 522,641,212,26
(Clasp) 743,641,88,27
der 841,640,40,23
Vor¬ 889,641,58,21
fabrikation 69,674,140,23
und 217,675,47,22
der 273,675,41,22
Verwendung 322,675,157,26
neuer 488,682,68,15
Baustoffe 564,675,118,22
mit 689,675,43,22
auf 740,675,42,22
diese 788,675,61,22
Akzen¬ 857,674,90,22
tuierung 69,708,105,27
in 185,708,24,22
der 220,709,41,22
technischen 272,709,144,22
Ausbildung 428,709,144,26
zurückzuführen. 583,709,204,22
<EOS>
Aus: 69,754,57,22
The 136,754,48,22
Education 194,754,121,21
of 325,754,26,22
the 358,754,38,22
Architect 406,754,113,22
(Panel 528,754,78,26
4) 617,755,23,24
<EOS>
<EOP>
"At 127,787,48,22
the 187,787,39,22
AA 237,787,45,22
the 295,787,38,22
curriculum 345,787,138,22
is 494,787,19,22
based 525,787,70,22
on 608,794,32,15
inter-acting 652,787,144,27
patterns 807,789,101,25
of 921,786,28,23
lecture 69,820,83,22
courses 163,827,92,16
and 266,821,46,22
studio 324,821,76,22
projects. 412,821,105,27
<EOS>
Over 531,821,61,22
the 603,821,38,22
five 648,821,45,22
year 699,828,55,20
training 762,822,97,25
period 865,820,82,28
the 69,854,39,22
lecture 117,854,84,23
material 211,855,103,22
is 324,855,19,22
organised 354,855,119,26
in 484,855,24,21
six 518,855,34,22
main 563,856,61,20
branches: 635,855,122,22
<EOS>
<EOP>
- 69,908,14,3
The 97,896,49,22
study 156,897,68,25
of 235,896,27,22
man 270,903,54,15
- 335,909,15,2
as 361,903,24,15
an 397,903,30,15
organism 439,897,116,26
and 565,897,46,21
as 623,903,25,15
a 660,903,13,15
social 685,897,69,21
being; 767,897,77,26
<EOS>
<EOP>
- 68,950,15,3
The 97,936,49,22
building 157,937,104,27
fabric 273,937,72,22
- 357,950,15,3
what 384,937,61,22
it 458,937,17,22
has 487,937,42,22
to 542,941,24,18
do, 580,938,39,26
what 632,937,61,22
it 708,938,14,21
can 736,944,43,15
be 792,938,28,21
made 833,936,68,23
of, 914,936,31,27
how 97,971,53,21
it 160,971,18,21
can 187,977,44,16
be 240,971,29,22
put 279,975,42,23
together; 331,971,114,26
<EOS>
<EOP>
- 67,1024,15,3
Communications 97,1012,213,23
- 320,1025,15,3
the 345,1013,38,21
implication 395,1013,140,26
of 545,1013,27,22
flow 580,1013,53,22
and 643,1013,45,22
movement 700,1016,130,19
in 841,1013,23,21
archi- 874,1012,72,22
tecture; 97,1049,95,23
^Professional 54,1082,195,38
action 260,1087,77,22
- 347,1101,15,1
ethics, 372,1087,78,26
law 462,1088,43,21
and 516,1088,45,21
management; 573,1091,170,23
<EOS>
<EOP>
- 67,1140,15,3
History 96,1128,95,27
- 202,1141,15,3
the 227,1129,38,22
nature 276,1131,80,20
of 367,1129,28,22
architectural 403,1129,159,22
development 572,1129,160,27
seen 743,1135,53,16
in 806,1129,25,21
terms 841,1132,68,19
of 921,1128,27,22
technology, 96,1162,144,27
philosophy, 251,1162,144,27
art 407,1166,36,18
and 452,1162,47,22
social 510,1162,69,22
context; 590,1166,103,23
<EOS>
<EOP>
- 67,1216,15,2
Urban 97,1203,80,22
design 190,1203,78,26
- 279,1216,16,3
the 305,1203,40,23
extension 355,1204,117,21
of 484,1204,27,21
architectural 521,1203,157,23
studies 691,1203,85,23
to 787,1207,25,18
groups 824,1209,84,21
of 921,1203,27,21
buildings 97,1238,112,25
in 222,1238,22,20
whole 255,1237,73,22
commun^^§£': 338,1233,200,34
Studies 126,1278,88,22
of 233,1278,26,22
philosophy 274,1278,139,28
and 430,1278,47,22
economics 494,1278,130,22
relating 642,1278,95,28
to 754,1282,25,18
architecture 797,1278,149,22
pervade 68,1312,97,26
the 174,1312,39,22
course. 221,1318,87,16
<EOS>
The 318,1312,48,22
design 375,1312,79,27
course 462,1319,82,15
is 553,1312,18,22
composed 580,1312,125,27
of 715,1312,28,22
"programmes", 749,1312,195,27
warying 68,1347,98,25
in 181,1345,24,22
duration 219,1345,108,23
and 341,1346,46,22
increasing 402,1346,126,26
in 543,1346,23,22
scale 581,1347,59,21
and 654,1347,46,21
complexity 715,1346,138,27
as 867,1352,25,15
the 908,1345,38,22
Student 67,1380,92,22
passes 170,1386,76,20
from 259,1380,61,22
first 331,1380,49,22
to 392,1383,25,19
fifth 428,1380,53,22
year 492,1387,53,19
and 557,1380,46,22
these 616,1380,62,22
are 690,1387,38,15
the 740,1380,39,22
centre 790,1383,76,19
of 878,1379,27,22
an 915,1386,30,15
AA 67,1414,45,21
student's 124,1414,111,22
life, 247,1413,45,27
under 305,1414,73,22
the 389,1414,39,22
supervision 441,1414,142,27
of 595,1414,27,23
a 632,1421,14,15
tutor, 659,1417,69,23
himself 745,1414,92,22
a 851,1420,14,15
prac- 881,1419,65,21
tising 67,1447,68,27
architect." 145,1447,132,22
<EOS>
<EOP>
Rechts 70,1529,73,20
oben: 157,1529,61,20
Jeder 230,1529,64,20
Arbeit 306,1530,67,19
geht 387,1530,46,23
das 446,1531,37,18
peinlich 497,1530,86,24
genaue 598,1536,77,18
Studium 689,1530,89,19
der 792,1530,36,19
Gegeben¬ 841,1529,104,24
heiten 70,1560,67,20
voraus 152,1565,73,14
Rechts 69,1612,73,20
Mitte: 158,1614,63,18
Studie 239,1614,67,18
in 323,1615,17,17
konstruktiven 356,1613,149,20
Systemen 520,1614,106,23
(Polar 642,1614,68,23
Shelter) 724,1614,88,24
Rechts 69,1665,74,21
unten: 160,1669,67,16
Geschichte 245,1665,122,20
der 379,1666,39,20
Technik 432,1666,85,20
(the 533,1666,42,25
Grat 592,1667,47,19
Laxey 655,1667,63,24
Wheel) 734,1667,76,23
Unten: 69,1719,72,19
Praktische 159,1718,116,20
Arbeit 293,1719,68,19
und 377,1719,37,19
Erfahrungen 432,1719,133,23
bilden 583,1720,66,18
einen 667,1721,58,18
wesentlichen 743,1719,143,20
Teil 904,1719,40,19
der 69,1749,36,20
Schulung 119,1749,101,24
zum 236,1755,44,14
Architekten 296,1749,128,20
<EOS>
<EOP>
1 335,1831,68,109
<EOS>
<EOP>
/ 670,1982,89,86
*m 71,2045,29,17
fr 71,2072,29,29
«fc. 71,2151,37,38
<EOS>
<EOP>
LUV 318,2363,93,31
m% 440,2363,61,31
<EOS>
<EOP>
ii 914,2459,13,23
l««J 908,2483,35,22
<EOS>
<EOP>
U»i 1557,218,27,23
V 1019,257,30,28
<EOS>
<EOP>
M-~*J 1376,327,81,18
(¦ 1017,378,9,15
,mavr-"»f? 1056,379,109,19
<EOS>
4<r<S>tT< 1182,379,74,19
rwvru 1687,388,95,18
<EOS>
<EOP>
*>! 1588,445,33,22
<EOS>
<EOP>
-Bf* 1791,735,62,42
<EOS>
<EOP>
.W 1394,1233,35,18
<EOS>
<EOP>
iffflaffläHbrnSSSf 1488,2078,166,20
Sfil 1658,2078,29,20
<EOS>
<EOP>
C: 1080,2519,38,37
<EOS>
<EOP>
«w; 1198,2584,58,21
<EOS>
<EOP>
Schweiz. 69,2736,87,17
<EOS>
Bauzeitung 168,2736,109,21
• 293,2742,6,6
83. 312,2736,28,17
<EOS>
Jahrgang 350,2736,94,22
Heft 454,2736,40,18
47 502,2736,22,18
* 540,2742,6,7
26. 560,2737,29,17
<EOS>
November 599,2736,100,19
1965 709,2738,42,17
865 1825,2735,43,21
<EOS>
<EOP>
