2176,3261
Bernhard, 137,679,121,31
nieren 130,3010,75,24
werde, 223,3010,79,30
so 321,3019,23,18
wie 362,3015,42,23
er 422,3021,23,18
durch 461,3013,69,27
diesen 549,3015,74,26
Akt 642,3016,41,26
seine 701,3020,58,24
Klaviervirtuosenlaufbahn 130,3056,312,30
zerschlug) 464,3061,124,35
; 597,3075,3,17
sie 624,3066,30,23
hassen 677,3063,81,27
sich 130,3103,45,27
selber. 190,3104,74,27
<EOS>
<EOP>
Indem 857,682,79,28
sie 951,685,30,25
also 996,682,46,28
durch 1057,682,70,28
die 1141,682,35,28
Unerbittlichkeit 1190,682,192,28
ihres 1397,682,58,28
Kunststrebens 822,731,174,27
mittelbar 1009,731,115,27
sich 1136,731,47,27
dem 1197,731,54,28
ausliefern, 1265,731,127,31
wo¬ 1407,740,47,19
von 822,787,46,19
sie 880,781,30,25
sich 924,778,45,28
abstossen, 983,779,125,30
sind 1121,780,49,26
sie, 1182,782,38,28
«am 1234,788,50,19
Ziel», 1297,780,61,32
gleich¬ 1372,780,82,35
falls 821,826,49,28
Gescheiterte, 887,827,156,32
wie 1062,831,43,24
anders, 1123,828,87,32
wenn 1229,837,67,18
sie 1314,831,31,24
«abbre¬ 1364,828,90,28
chen», 822,875,77,33
«aufgeben». 918,875,144,36
<EOS>
Es 1080,879,26,24
ist, 1124,880,33,28
im 1175,880,32,23
Verständnis 1224,877,143,27
Bern¬ 1385,879,70,25
hards, 822,924,74,33
in 913,927,21,24
jedem 952,925,75,34
Fall 1044,925,42,27
ein 1103,928,36,25
Krankheitsprozess, 1156,925,231,35
Ver¬ 1405,928,49,25
kümmerung, 823,972,160,36
Verkrüppelung, 992,973,189,35
Verstümmelung 1192,974,197,35
(alle 1401,973,54,33
Menschen 821,1021,123,28
seien 956,1024,60,25
Verstümmelte, 1028,1022,179,31
habe 1218,1022,60,28
Glenn 1289,1022,71,28
gesagt, 1371,1027,83,30
der 822,1070,39,27
selber, 871,1070,75,33
sass 957,1080,45,18
er 1013,1080,22,18
am 1046,1080,38,18
Klavier, 1094,1071,92,31
ausgesehen 1196,1071,141,36
habe 1347,1071,58,27
zu¬ 1416,1080,39,18
erst 821,1124,45,22
wie 877,1122,43,24
ein 932,1122,36,24
Tier, 980,1121,53,30
bei 1046,1119,34,27
näherer 1092,1119,97,27
Betrachtung 1200,1119,151,36
wie 1363,1123,43,24
ein 1418,1122,37,24
Krüppel, 822,1168,102,35
bei 942,1168,35,27
noch 997,1168,58,27
näherer 1074,1168,96,27
aber 1189,1168,53,27
dann 1261,1168,61,27
«wie 1342,1171,54,24
der 1416,1168,39,27
scharfsinnige, 821,1215,170,36
schöne 1014,1216,83,28
Mensch, 1119,1216,99,33
der 1242,1217,40,27
er 1304,1225,24,19
gewesen 1350,1224,104,28
war»)... 821,1262,107,36
<EOS>
in 949,1267,21,25
jedem 991,1265,74,35
Fall 1086,1265,43,27
eine 1148,1267,48,26
Vorgangsweise 1216,1267,179,33
des 1416,1265,39,27
Todes. 821,1313,76,28
<EOS>
«Mit 909,1316,50,25
dem 971,1313,54,28
Bogen 1037,1316,76,33
gegen 1124,1322,73,27
den 1210,1314,44,27
Tod 1266,1314,43,27
in 1322,1317,21,23
den 1355,1314,44,27
Tod 1411,1313,44,27
sich 821,1361,47,28
hineinstreichen», 879,1361,208,33
formulierte 1100,1361,140,28
der 1253,1363,39,26
Zirkusdirek¬ 1303,1361,150,28
tor 820,1416,36,22
und 865,1411,46,27
Cellist 921,1411,72,27
Caribaldi. 1004,1411,115,27
<EOS>
Von 1130,1414,46,24
Glenn, 1187,1411,78,32
in 1276,1414,21,24
sinngemäs¬ 1308,1414,145,31
ser 821,1467,33,20
Abwandlung, 862,1459,162,35
sagt 1033,1464,47,30
auf 1088,1459,41,28
einer 1134,1462,60,25
der 1202,1460,39,26
ersten 1249,1464,75,22
Seiten 1332,1461,75,25
der 1415,1459,40,27
Erzähler, 821,1508,107,30
die 946,1508,34,27
«Ausweglosigkeit» 999,1507,224,36
habe 1241,1507,59,27
ihn 1317,1507,39,26
umge¬ 1375,1516,78,27
bracht, 820,1555,86,32
«in 916,1559,34,23
welche 960,1555,85,28
er 1056,1564,23,18
sich 1089,1555,46,28
in 1146,1559,22,23
beinahe 1178,1555,95,27
vierzig 1284,1558,83,33
Jahren 1372,1555,81,35
hineingespielt 821,1604,182,36
hat». 1012,1604,56,27
<EOS>
<EOP>
Es 856,1655,26,25
ist 891,1655,27,25
ein 925,1655,37,25
Tod 970,1653,44,27
durch 1022,1652,70,28
Ersticken, 1102,1653,121,30
indem 1232,1654,76,27
die 1317,1654,34,27
«frische 1362,1653,91,29
Luft» 821,1700,61,29
ausbleibt, 896,1702,117,30
die, 1026,1702,42,31
so 1082,1710,24,20
Glenn, 1120,1702,77,31
notwendig 1212,1703,129,35
ist, 1354,1706,32,28
«um 1402,1713,51,18
weiterzukommen»..., 820,1750,280,33
<EOS>
indem 1115,1751,76,28
der 1207,1752,38,27
für 1259,1751,36,28
die 1310,1752,34,28
Beherr¬ 1359,1752,94,28
schung 820,1800,88,36
einer 924,1803,61,25
Kunst 1001,1803,70,25
oder 1089,1800,55,28
eines 1161,1803,60,25
Kunststücks 1240,1801,146,27
ent¬ 1405,1806,49,22
scheidend 820,1848,121,29
wichtige 954,1849,106,36
Atem, 1075,1852,74,29
derjenige 1164,1849,114,36
der 1292,1850,39,27
«Geistes- 1346,1852,106,25
lunge», 820,1898,86,36
stockt. 925,1898,79,27
<EOS>
Damit 1024,1901,75,24
steht 1118,1898,60,28
im 1197,1902,31,23
Zusammenhang, 1248,1898,206,36
dass 819,1946,52,28
Glenn 886,1946,70,28
von 972,1956,44,18
seiner 1031,1950,71,24
(ihm 1118,1947,61,32
von 1195,1956,45,18
Bernhard 1255,1947,115,27
ange¬ 1384,1956,68,27
hängten) 820,1994,113,37
Lungenkrankheit 946,1996,215,35
«wie 1171,1999,55,25
von 1236,2005,45,19
einer 1290,1999,60,25
zweiten 1359,1999,94,25
Kunst» 819,2046,82,26
gesprochen 917,2044,141,36
habe. 1075,2044,65,28
<EOS>
Das 1157,2046,44,26
geistige 1218,2047,93,33
Atmen 1327,2047,82,26
ist 1426,2047,27,25
gemeint, 820,2096,105,32
wenn 939,2101,69,20
der 1022,2093,39,28
Fürst 1074,2096,61,25
in 1150,2096,22,24
Verstörung 1191,2096,135,33
alle 1334,2093,42,28
Men¬ 1390,2096,63,25
schen 819,2141,68,28
im 903,2145,32,23
nach 952,2141,56,28
und 1025,2142,46,27
nach 1088,2141,57,28
vollkommen 1161,2142,156,27
luftleeren 1335,2140,117,29
Raum 819,2193,73,25
zu 910,2200,27,18
Boden 957,2191,78,27
stürzen 1053,2195,88,23
sieht, 1161,2190,63,31
erstickt 1244,2190,90,27
in 1353,2193,21,24
einer 1394,2192,60,25
durchmechanisierten, 818,2239,273,31
sinnentleerten 1110,2239,178,27
Welt, 1309,2237,59,30
wäh¬ 1389,2237,62,27
rend 819,2288,53,27
herrenlose 886,2288,129,27
Maschinen 1029,2287,129,27
die 1173,2287,34,27
Katastrophen 1222,2285,165,36
her¬ 1402,2285,50,28
beiführen, 819,2335,127,32
die, 955,2336,42,31
weil 1007,2335,50,27
sie 1066,2338,30,23
niemand 1106,2335,106,27
mehr 1222,2334,65,27
wahrnimmt, 1295,2334,156,32
keine 819,2383,64,28
mehr 895,2383,65,27
sind. 973,2383,56,27
<EOS>
Das 1041,2385,44,25
Ende 1099,2383,59,27
tritt 1171,2386,46,24
ein 1229,2386,36,24
wie 1279,2386,43,25
«auf 1336,2383,52,29
dem 1399,2384,53,28
Höhepunkt» 819,2432,149,35
des 980,2432,39,27
allgemeinen 1030,2432,149,35
«Maskenwahnsinns», 1191,2432,260,35
so 819,2488,23,20
auf 857,2479,40,29
dem 909,2481,54,27
Höhepunkt 977,2480,139,36
einer 1129,2484,61,25
Kunst, 1203,2484,77,29
wo 1295,2491,36,19
sie 1346,2486,30,24
nicht 1391,2483,61,27
mehr 819,2529,64,28
weiter 897,2532,77,25
perfektioniert 987,2529,169,36
werden 1170,2532,91,27
kann 1276,2532,61,27
und 1353,2532,46,27
zu¬ 1412,2541,39,18
rückfällt 818,2578,102,29
in 941,2582,22,24
das 985,2580,39,27
unwillkürlich 1046,2580,166,28
Mechanische 1234,2581,158,28
der 1413,2581,39,28
Gewohnheit. 818,2628,156,28
<EOS>
Der 988,2631,43,26
historische 1044,2629,133,28
Glenn 1190,2629,71,28
mochte 1276,2629,91,28
etwas 1381,2635,70,22
Derartiges 818,2680,127,34
gespürt 956,2683,94,31
und 1063,2678,45,27
gedacht 1120,2678,98,36
haben, 1230,2678,82,30
als 1325,2678,32,28
er 1370,2687,23,19
sich 1405,2678,47,28
vornahm, 818,2726,118,32
das 964,2727,40,27
Klavierspiel 1032,2727,143,35
zugunsten 1202,2732,128,30
anderer 1359,2728,94,27
Tätigkeiten 817,2775,140,36
- 964,2791,13,3
Dirigieren, 986,2778,130,34
Komponieren, 1124,2778,176,34
Schreiben 1308,2775,121,29
- 1438,2792,13,3
<EOS>
<EOP>
zurückzustellen, 816,2824,203,34
wenn 1029,2834,67,18
nicht 1107,2824,62,28
gar 1179,2834,39,27
damit 1228,2825,72,27
aufzuhören 1310,2824,140,29
<EOS>
<EOP>
- 817,2890,13,1
eine 839,2877,49,25
Möglichkeit, 897,2874,149,35
die 1057,2874,34,28
für 1101,2873,36,29
«Glenn 1147,2874,82,28
Steinway», 1240,2876,132,34
Bern¬ 1382,2877,68,25
hards 816,2922,67,28
Demonstrationsobjekt, 897,2923,281,35
nicht 1191,2923,62,28
bestehen 1265,2923,110,28
kann 1389,2924,61,27
und 816,2971,47,27
darf, 871,2970,55,33
allerdings 936,2971,117,36
auch 1063,2971,57,28
für 1129,2971,38,28
den 1175,2972,44,27
wirklichen 1229,2972,132,28
Glenn, 1372,2972,77,32
durch 816,3018,71,27
Einspruch 902,3019,122,35
des 1039,3021,39,25
Todes, 1092,3021,76,30
ganz 1182,3029,58,27
im 1255,3023,30,24
Sinne 1300,3023,67,25
Bern¬ 1382,3023,68,25
hards, 816,3065,75,33
nicht 905,3067,62,26
bestehen 980,3067,110,27
durfte. 1104,3068,81,27
<EOS>
<EOP>
Das 855,3116,44,24
Ende 912,3115,59,26
tritt 983,3117,46,25
ein, 1041,3118,44,27
wenn 1098,3124,68,19
die 1179,3117,34,27
Erschöpfung 1226,3117,154,35
nicht 1393,3117,62,28
<EOS>
<EOP>
mehr 1510,681,64,27
Ansporn 1582,684,105,32
zu 1694,690,28,19
erhöhter 1730,682,108,27
Anstrengung 1846,684,159,32
sein, 2013,684,53,30
wenn 2074,685,66,24
der 1509,730,38,27
Verzweiflung 1558,729,152,36
(als 1724,729,42,34
seine 1779,733,56,25
«Verzweiflungsmaschine» 1848,729,293,36
habe 1509,778,59,28
Wertheimer 1588,778,146,28
Glenns 1754,779,83,27
Studio 1858,779,77,27
bezeichnet) 1954,778,141,32
so 2118,782,22,21
nicht 1509,826,62,28
mehr 1580,826,65,28
begegnet 1654,827,110,36
werden 1774,827,91,27
kann. 1875,826,68,28
<EOS>
Auf 1953,826,46,28
dem 2005,827,52,27
Höhe¬ 2069,826,71,27
punkt 1510,875,72,35
ihrer 1591,875,57,28
Kunst 1656,878,70,25
löst 1735,875,41,28
so, 1785,885,31,21
wie 1825,879,44,24
eine 1877,879,48,24
sich 1934,875,46,28
selbst 1989,875,66,28
zerstö¬ 2063,875,77,28
rende 1510,924,66,28
Maschine 1598,924,112,28
von 1732,933,45,19
Tinguely, 1799,924,109,35
die 1932,925,35,27
Königin 1989,927,94,32
der 2104,921,38,28
Nacht, 1510,972,77,31
die 1599,973,33,27
Koloraturmaschine, 1644,972,242,30
sich 1898,972,46,28
auf, 1955,971,45,31
beginnt 2011,973,94,35
zu 2115,975,26,22
husten, 1509,1020,91,33
während 1616,1021,107,27
der 1738,1021,40,27
Doktor, 1793,1021,90,31
der 1900,1021,39,27
im 1954,1024,31,23
Verlauf 2002,1019,88,29
des 2103,1019,38,27
ganzen 1510,1077,86,27
Stücks 1607,1069,79,28
eine 1697,1073,49,24
Leichensektion 1757,1069,185,28
beschreibt, 1953,1069,131,32
sich 2096,1064,45,32
den 1510,1118,43,26
Rachenbereich 1579,1118,180,28
vornimmt, 1786,1121,133,28
und 1946,1118,45,28
sagt 2017,1124,47,29
tele¬ 2090,1115,50,29
graphisch 1510,1165,119,36
ihre 1643,1166,46,28
Verpflichtungen 1703,1166,196,36
ab. 1913,1167,33,27
<EOS>
<EOP>
Bernhards 1544,1214,126,28
Glenn 1687,1215,70,28
wird 1772,1216,56,27
so 1843,1223,25,19
auf 1882,1214,42,28
dem 1935,1216,54,27
Höhepunkt 2005,1211,136,40
seiner 1510,1265,69,25
Kunst, 1597,1266,76,29
während 1692,1264,108,28
des 1818,1264,40,27
Spiels 1876,1263,70,37
der 1965,1264,39,27
Goldberg- 2022,1263,118,32
Variationen, 1509,1314,147,30
worin 1678,1316,71,24
er 1771,1322,24,18
unübertrefflich 1818,1311,185,28
war. 2025,1321,50,20
<EOS>
von 2098,1316,42,21
einem 1509,1363,74,25
Hirnschlag 1599,1361,132,36
getroffen 1746,1361,112,36
(den 1876,1360,57,34
wirklichen, 1947,1361,141,29
der 2103,1359,37,27
immerhin 1509,1410,123,27
die 1652,1411,35,27
Goldberg-Variationen, 1707,1411,267,34
deren 1996,1411,67,27
erste 2084,1411,56,25
Einspielung, 1508,1459,151,35
1955. 1677,1461,63,29
<EOS>
seinen 1758,1462,75,24
Ruhm 1850,1459,74,27
begründete, 1941,1459,147,35
ein 2106,1458,34,25
Jahr 1504,1507,53,34
vor 1575,1516,40,18
seinem 1632,1510,83,25
Tod, 1735,1508,49,31
1981, 1805,1510,58,28
tatsächlich 1881,1507,133,27
auf 2033,1505,40,29
dem 2089,1505,51,28
Höhepunkt 1508,1555,139,36
seiner 1668,1559,69,24
Kunst, 1759,1559,77,26
ein 1859,1559,36,24
zweites 1917,1559,89,24
Mal 2028,1555,42,27
aul¬ 2093,1550,46,32
genommen 1508,1613,140,27
hatte, 1659,1604,68,33
überfiel 1739,1604,93,28
ein 1843,1607,36,25
erster 1889,1610,70,22
Hirnschlag 1969,1604,132,34
im 2111,1604,29,24
Schlaf). 1509,1652,95,32
<EOS>
Er 1620,1656,25,24
habe, 1660,1653,66,30
meint 1742,1657,71,24
der 1829,1654,39,27
Erzähler, 1883,1653,108,32
«seine 2007,1656,71,25
Exi¬ 2093,1651,46,28
stenz 1509,1707,63,22
zum 1585,1710,54,20
richtigen 1653,1702,109,35
Zeitpunkt 1775,1702,120,35
beendet». 1908,1702,116,27
<EOS>
Die 1543,1754,40,26
Formulierung 1603,1753,172,34
insinuiert, 1793,1755,125,26
wenn 1937,1761,69,18
auch 2024,1751,58,28
an¬ 2101,1755,38,21
schliessend 1509,1801,134,27
der 1658,1801,39,27
«wie 1712,1804,54,24
gesagt 1780,1806,78,30
wird, 1873,1800,62,30
natürliche 1950,1800,123,28
Tod» 2088,1794,52,31
bestätigt 1508,1849,105,36
wird. 1623,1850,64,29
<EOS>
Glenn 1698,1849,71,28
habe 1780,1849,59,27
sich 1851,1848,46,27
umgebracht, 1908,1849,156,36
sozu¬ 2077,1852,62,24
sagen 1509,1907,67,27
unwillkürlichen 1596,1897,196,28
Suizid 1811,1897,75,27
begangen, 1902,1897,126,36
in 2047,1901,21,23
Voll¬ 2087,1891,53,33
endung 1507,1947,92,35
seines 1613,1950,70,24
Genies 1698,1948,79,25
- 1793,1961,12,2
während 1821,1945,106,28
Wertheimer 1943,1946,147,28
auf 2103,1937,39,33
erbärmliche 1509,1995,150,28
Weise 1670,1996,70,26
sich 1753,1994,46,28
selber 1813,1994,71,28
überlebte, 1897,1995,122,31
sich 2034,1995,45,28
auf¬ 2093,1987,46,33
lösend 1508,2043,75,28
bei 1594,2043,34,27
lebendigem 1639,2042,143,36
Leib. 1794,2043,56,28
<EOS>
Die 1863,2046,39,25
Alternative 1913,2044,134,28
also 2057,2043,46,28
ist 2114,2040,25,26
die 1508,2092,35,27
zwischen 1560,2091,112,27
einem 1689,2095,75,24
rechtzeitigen, 1781,2092,165,37
würdigen 1963,2094,117,35
Ab¬ 2098,2088,40,29
gang 1506,2148,60,27
und 1580,2140,46,27
einem 1639,2143,74,24
unwürdigen, 1729,2142,158,35
zu 1901,2151,27,18
späten; 1943,2145,90,32
«Unter¬ 2050,2143,88,25
geher» 1507,2188,81,35
aber 1606,2189,53,28
sind 1677,2190,49,27
letztlich 1744,2190,96,28
alle: 1859,2190,51,27
Glenn, 1930,2190,77,30
der 2026,2190,39,27
diese 2083,2188,55,28
Bezeichnung 1507,2237,157,37
für 1678,2238,37,29
Wertheimer 1731,2239,147,28
erfand, 1893,2238,86,31
in 1996,2242,21,24
die 2034,2239,34,27
Aus¬ 2084,2239,53,25
weglosigkeit 1507,2286,155,36
sich 1679,2288,46,28
hineinspielend 1743,2287,179,35
ebenso 1939,2288,85,27
wie 2040,2289,44,25
der 2102,2283,36,28
Erzähler 1507,2336,103,28
in 1624,2339,21,24
seinem 1659,2339,84,25
«Verkümmerungsprozess». 1759,2336,327,36
<EOS>
Alle 1543,2385,45,28
von 1608,2394,44,19
Bernhard 1671,2385,116,28
anscheinend 1807,2384,151,28
minuziös, 1978,2388,121,25
in 2118,2381,19,24
ermüdender 1507,2434,153,27
und 1687,2434,45,27
verwirrender 1760,2434,162,27
Ausführlichkeit 1949,2428,189,32
ausgebreiteten 1507,2482,180,36
Gegensätze 1697,2485,138,33
werden 1844,2482,91,28
auch 1945,2482,57,28
wieder 2013,2482,85,28
re¬ 2107,2482,30,22
lativiert 1507,2532,96,27
oder 1617,2532,55,27
heben 1686,2531,74,28
sich 1776,2531,47,28
auf, 1838,2530,44,32
zum 1897,2540,54,19
einen, 1966,2534,72,25
weil 2054,2526,48,31
es 2117,2528,21,22
wirkliche 1507,2580,115,28
Alternativen 1645,2580,150,28
in 1818,2583,22,24
seinem 1863,2582,83,25
geschlossenen 1969,2577,168,38
Denksystem 1507,2629,152,35
nicht 1681,2629,61,27
geben 1764,2629,73,35
kann 1860,2628,60,28
und 1944,2629,45,27
darf, 2011,2626,54,32
zum 2087,2626,50,27
andern 1507,2678,86,28
aus 1610,2686,41,20
Sprach- 1668,2678,96,36
und 1781,2678,47,28
Erkenntnisskepsis, 1846,2677,230,36
wo¬ 2094,2678,43,22
nach 1508,2727,55,27
Annäherung 1583,2726,157,36
an 1759,2736,28,18
den 1808,2727,44,27
Gegenstand 1873,2727,142,35
uns 2035,2733,43,20
den 2097,2720,40,28
Gegenstand 1506,2776,144,35
entzieht. 1663,2775,105,29
<EOS>
Der 1781,2778,44,25
