2254,2981
13Ô 191,80,42,24
Motoren 890,2114,122,21
sind 1026,2112,60,22
mit 1101,2112,49,21
Hilfe 199,2151,71,22
von 285,2156,53,17
Reibungskupplungen 351,2151,304,27
umschaltbar 677,2149,180,22
und 880,2148,52,20
treiben 955,2146,101,22
dann 1080,2146,69,21
über 199,2185,64,22
ein 278,2184,44,22
Reduktionsgetriebe 335,2184,281,27
mit 637,2184,50,21
elastischer 707,2182,155,22
Kupplung 882,2181,142,27
je 1045,2180,27,26
eine 1093,2179,58,21
der 200,2220,46,20
beiden 260,2218,93,22
für 367,2218,45,21
eine 427,2218,58,21
Fördermenge 500,2218,193,26
von 715,2222,53,17
56,7 788,2216,54,25
1/s 857,2216,34,30
und 905,2215,53,21
70 974,2215,29,20
m 1019,2219,26,15
Druck 1061,2213,89,21
gebauten 200,2253,131,27
Feuerlösch-Kreiselpumpen. 342,2251,391,27
<EOS>
Sämtliche 749,2250,143,22
Maschinen 900,2248,155,22
haben 1064,2247,87,21
unter 200,2288,77,20
einem 292,2286,85,21
Winkel 392,2285,103,22
von 515,2289,51,17
etwa 587,2285,68,21
12° 671,2285,45,21
schräg 734,2284,98,27
nach 848,2283,67,22
unten 930,2283,82,21
geneigte 1027,2281,123,27
Wellen. 199,2321,107,22
<EOS>
Beide 322,2320,79,21
Pumpen 411,2319,118,27
arbeiten 544,2319,118,21
auf 678,2318,48,21
ein 735,2318,43,21
gemeinsames 787,2317,193,28
aus 991,2321,47,16
Leicht¬ 1048,2315,103,21
metall 201,2355,92,21
hergestelltes 301,2354,182,26
Rohrsystem 495,2352,172,27
mit 683,2352,49,21
einem 747,2352,84,21
mittschiffs 842,2350,158,23
stehenden 1010,2350,141,22
Schwenkdüsenkopf 202,2387,278,27
und 501,2387,54,21
zwei 578,2386,65,21
rechts 665,2386,89,21
und 769,2385,53,21
links 838,2385,69,21
davon 924,2385,84,20
angeord¬ 1024,2383,127,27
neten 200,2423,78,20
Schlauchanschlusskästen 294,2421,365,22
mit 674,2419,49,22
je 737,2419,27,26
sechs 780,2419,75,21
Anschlüssen. 870,2418,187,21
<EOS>
Zum 1087,2417,64,21
Reinigen 201,2456,128,26
werden 350,2455,104,22
die 474,2454,42,22
Saugleitungsiebe 532,2453,244,28
mit 792,2453,48,21
Druckwasser 856,2452,189,21
durch¬ 1058,2450,93,22
spült. 202,2490,77,27
<EOS>
Das 312,2490,53,20
mit 382,2488,48,22
gleitsicherem 445,2488,193,27
Gummibelag 654,2486,182,26
abgedeckte 859,2486,161,26
Boot 1035,2485,67,21
ist 1117,2483,34,22
niedrig 201,2523,102,26
gebaut, 318,2523,104,27
sodass 439,2522,92,21
kein 547,2521,61,22
fester 623,2521,83,22
Teil 721,2520,55,21
mehr 792,2520,74,21
als 881,2519,40,21
2,3 937,2520,37,26
m 991,2525,25,13
über 1031,2519,64,21
die 1111,2518,40,21
Wasserlinie 204,2556,167,23
hinausragt; 385,2556,170,26
es 579,2560,30,16
erreichte 624,2554,129,22
bei 769,2554,41,21
den 824,2554,51,21
Probefahrten 889,2553,192,21
eine 1096,2553,56,20
Geschwindigkeit 202,2590,241,28
von 450,2595,53,17
20,197 516,2589,84,26
kn 610,2589,38,21
(«Engineering» 665,2587,220,28
vom 895,2592,61,16
8. 967,2587,20,21
<EOS>
Dez. 997,2587,60,20
<EOS>
1939). 1069,2587,82,23
<EOS>
<EOP>
Ein 263,2630,50,21
Abflussregler 327,2627,198,27
mit 540,2627,49,21
kegelförmiger 606,2626,205,26
Strahlausbreitung 827,2624,264,26
zur 1106,2628,46,16
Vernichtung 202,2663,182,27
der 398,2663,46,21
Strömungsenergie 455,2660,262,29
ist 732,2660,36,21
an 783,2664,35,17
der 833,2659,46,22
Burrinjuck-Sperre 889,2658,263,27
in 202,2698,28,21
Neu-SUd-Wales 245,2696,223,23
(Australien) 486,2694,177,27
zur 682,2699,48,16
Anwendung 740,2693,171,25
gekommen. 925,2692,165,27
<EOS>
Die 1105,2691,48,21
den 203,2732,49,22
Staudamm 268,2731,154,22
horizontal 443,2729,146,23
durchdringende 605,2727,225,27
2750 845,2726,60,22
mm 920,2731,54,16
weite 992,2725,76,22
Ent¬ 1089,2725,63,21
leerungsleitung 202,2765,224,27
verjüngt 441,2764,125,27
sich- 580,2763,66,22
am 653,2767,43,17
Austrittende 711,2761,183,22
auf 905,2761,47,20
2290 961,2759,60,22
mm 1031,2764,54,16
und 1101,2758,52,22
ist 202,2801,37,21
dort 261,2800,61,22
durch 340,2799,83,22
das 445,2799,49,21
zylindrisch 515,2795,160,29
geformte 697,2795,129,28
Regelorgan 852,2795,165,25
gleicher 1039,2792,115,28
Lichtweite 202,2833,154,24
abgeschlossen. 371,2833,209,26
<EOS>
Dieses 605,2831,92,21
ist 713,2830,35,22
an 763,2834,35,17
seiner 818,2830,87,21
Stirnseite 919,2827,138,24
durch 1073,2826,82,22
einen 203,2869,74,21
kegelförmigen, 289,2867,214,27
mittels 514,2865,101,23
einer 625,2864,71,22
Anzahl 706,2863,103,22
starker 819,2863,105,22
radialer 934,2862,112,22
Rippen 1054,2861,100,28
mit 202,2902,50,22
dem 267,2902,58,22
Gehäusezylinder 341,2901,235,25
vergossenen 587,2902,175,23
Rotationskörper 772,2896,235,28
begrenzt, 1021,2895,132,28
<EOS>
<EOP>
dessen 1181,130,94,21
konkav 1289,130,107,21
ausgebildete 1411,129,180,27
Mantelfläche 1605,127,188,22
die 1808,128,42,19
Strömung 1866,126,143,27
allmäh¬ 2024,124,110,23
lich 1181,164,53,21
in 1252,163,29,22
radialer 1300,163,114,22
Richtung 1434,163,133,26
bis 1587,162,41,21
zur 1649,166,49,17
zylindrischen 1717,160,192,27
Austrittfläche 1928,158,207,23
umlenkt, 1181,197,125,26
die 1322,197,41,21
von 1378,202,52,16
der 1446,197,47,21
Erzeugenden 1502,196,186,27
in 1703,196,28,20
einem 1746,195,84,21
Winkel 1843,195,103,20
von 1961,199,52,15
45 2028,194,29,20
° 2064,194,9,13
ge¬ 2089,197,44,22
schnitten 1181,232,132,20
wird. 1328,231,72,21
<EOS>
Zum 1416,232,63,19
Abschliessen 1490,229,185,22
und 1688,229,53,22
Oeffnen 1752,229,114,21
des 1881,229,46,21
Reglers 1936,229,110,24
dient 2062,227,72,21
ein 1183,265,42,21
über 1240,265,63,21
sein 1322,265,56,21
Gehäuse 1394,264,119,22
geschobener, 1532,262,183,28
auf 1732,262,47,22
rostfreien 1798,262,142,22
Gleitflächen 1960,261,174,22
axial 1182,300,71,20
beweglicher 1273,298,172,28
Ringkörper, 1467,298,173,27
dessen 1661,297,93,21
Stirnfläche 1775,295,159,23
sich 1956,295,57,22
in 2032,295,28,21
Ab¬ 2079,294,53,21
schlussteilung 1182,334,203,24
an 1400,338,36,16
den, 1446,333,55,23
am 1513,338,43,15
Ende 1567,332,73,19
des 1656,331,45,20
Rotationskegels 1711,329,229,27
aufgesetzten 1952,329,182,27
Dichtungsring 1183,367,207,26
anlegt. 1399,367,98,26
<EOS>
Der 1506,366,54,21
als 1569,366,41,21
Differentialkolben 1617,363,265,22
mit 1891,363,50,21
dem 1951,364,59,20
Wasser¬ 2016,364,117,20
druck 1183,401,83,21
der 1285,401,47,21
Sperre 1352,400,94,27
arbeitende 1466,400,151,21
Ringschieber 1637,397,188,28
läuft 1842,397,71,21
in 1927,397,29,21
einem 1970,396,84,21
vorn 2068,400,66,17
durch 1183,435,80,21
Deckel 1278,435,98,21
und 1385,434,53,22
Stopfbüchse 1449,433,177,26
abgeschlossenen 1636,432,235,27
Gehäuse, 1881,430,126,26
auf 2018,431,47,20
dem 2075,430,59,21
das 1183,469,47,20
Steuerventil 1246,468,175,21
sitzt; 1436,468,74,23
er 1529,473,27,15
trägt 1573,467,74,26
eine 1662,467,57,20
direkt 1733,465,88,21
auf 1836,465,47,21
das 1897,465,49,20
SteuerventU 1961,463,174,22
einwirkende 1184,502,173,21
Rückführung, 1372,501,200,26
die 1585,500,42,22
den 1642,500,50,22
Schieber 1707,499,123,23
an 1846,503,34,16
einer 1896,498,70,21
Aenderung 1976,498,159,25
der 1184,537,45,20
jeweils 1248,536,99,25
gewollten, 1368,536,146,25
von 1532,540,52,16
der 1605,535,45,20
Bedienungsstelle 1672,533,241,27
aus 1935,537,48,16
über 2002,532,64,20
das 2086,532,48,20
SteuerventU 1184,570,173,22
mittels 1378,570,99,21
Handrad 1492,569,125,21
und 1637,568,54,21
Spindel 1713,566,105,28
einregulierten 1839,566,202,27
Oeff- 2062,566,72,21
nungslage 1183,605,146,25
hindert. 1345,604,110,21
<EOS>
Durch 1471,604,89,20
die 1575,603,41,20
vollkommene 1626,602,189,21
Ausbalancierung 1826,599,247,27
und 2081,599,53,21
gute 1184,638,64,27
Führung 1262,638,127,25
des 1404,638,45,20
Ringkörpers 1464,637,179,26
ist 1658,636,37,21
Klemmen 1709,636,138,20
und 1860,634,55,21
Vibration 1925,633,138,22
ver¬ 2077,638,57,16
mieden; 1184,672,114,25
es 1313,676,29,17
tritt 1357,671,60,22
auch 1433,671,66,21
keine 1516,671,76,20
nachteilige 1606,669,158,26
Wirkung 1774,669,128,26
auf 1913,668,47,21
die 1974,667,43,21
Funda¬ 2032,666,102,22
mente 1184,705,88,21
durch 1288,705,81,21
das 1388,705,48,21
ausströmende 1451,703,197,23
Wasser 1664,704,106,20
ein, 1788,703,49,24
da 1858,702,35,21
dessen 1908,703,93,20
gesamte 2016,699,119,28
Energie 1184,739,114,26
durch 1313,737,82,22
die 1410,738,42,21
Zerstreuung 1466,738,177,25
in 1656,737,29,21
der 1698,737,47,21
Luft 1759,737,65,21
vernichtet 1837,735,148,22
wird. 1998,735,74,21
<EOS>
Bei 2088,734,47,20
höchstem 1184,773,137,21
Wasserstand 1328,770,186,24
in 1528,771,27,21
der 1565,771,47,21
Sperre, 1622,770,101,28
entsprechend 1734,770,190,27
50,5 1933,770,53,24
m 1996,775,27,14
Druck, 2038,767,96,25
können 1184,807,105,21
85 1305,807,29,21
m3/s, 1346,806,67,30
bei 1424,805,42,22
niedrigstem 1476,804,170,27
Stand 1658,804,82,22
und 1749,804,53,21
19,3 1813,804,51,24
m 1875,809,27,15
Druck 1912,803,90,22
52,5 2011,803,52,24
ms/s 2073,803,61,28
abgelassen 1186,832,156,38
werden 1356,840,104,20
(«The 1478,839,80,25
Engineer» 1575,838,145,26
vom 1735,843,61,15
26. 1810,837,37,22
<EOS>
Januar 1858,837,99,21
1940). 1973,836,83,25
<EOS>
<EOP>
Kalkulationswesen 1247,878,273,20
im 1541,876,37,21
Baugewerbe. 1599,875,184,27
<EOS>
In 1807,875,32,21
der 1858,874,48,22
vom 1923,880,62,16
Betriebs¬ 2006,874,128,20
wissenschaftlichen 1186,912,270,21
Institut 1464,910,111,22
an 1582,915,35,16
der 1625,909,45,21
E. 1678,910,30,20
<EOS>
T. 1714,910,27,20
<EOS>
H. 1747,908,32,22
<EOS>
Zürich 1790,908,94,22
herausgegebenen 1891,908,245,26
Zeitschrift 1186,946,151,22
«Industrielle 1356,944,179,22
Organisation» 1556,943,202,27
(Dezemberheft 1777,942,214,26
3/4 2005,941,40,30
1939) 2060,940,73,25
wird 1186,980,65,22
der 1267,980,45,21
Meinung 1328,980,124,25
Ausdruck 1471,979,139,20
gegeben, 1629,978,125,25
dass 1775,977,63,20
«die 1859,976,56,21
meisten 1935,975,111,22
Bau¬ 2068,975,68,20
firmen 1187,1015,96,20
wohl 1292,1014,69,21
eine 1376,1013,57,21
Ahnung 1444,1013,115,26
davon 1569,1013,85,20
haben, 1669,1012,93,23
dass 1774,1011,62,20
eine 1847,1009,56,21
genaue 1913,1014,101,22
Berech¬ 2025,1008,111,22
nungsmethode 1187,1047,207,27
notwendig 1416,1046,150,27
ist, 1589,1046,43,23
dass 1657,1046,62,20
dann 1744,1045,70,20
aber 1838,1045,62,20
mangels 1925,1043,117,25
einer 2065,1042,72,21
solchen 1187,1082,106,21
im 1308,1082,37,20
allgemeinen 1361,1081,171,27
doch 1546,1080,65,21
sehr 1627,1080,60,21
empirisch 1703,1079,140,25
vorgegangen 1853,1082,187,22
wird». 2049,1076,87,21
<EOS>
Da 1189,1118,40,19
die 1245,1116,40,20
ganze 1300,1121,84,21
Kalkulation 1400,1114,171,22
auf 1591,1113,47,22
Unkosten, 1657,1113,145,24
Material 1817,1111,122,22
und 1959,1112,53,20
Löhnen 2030,1111,108,20
beruht 1187,1151,95,20
und 1295,1150,54,21
die 1364,1148,41,22
erstgenannten 1422,1148,204,27
verhältnismässig 1641,1146,245,26
leicht 1906,1146,79,21
bestimm¬ 2005,1144,133,22
bar 1188,1185,47,21
sind, 1251,1183,65,26
wird 1336,1184,66,21
in 1425,1183,27,21
der 1468,1183,45,20
fraglichen 1531,1181,146,27
Abhandlung 1696,1180,176,26
der 1885,1180,45,21
Schwerpunkt 1948,1177,192,28
auf 1189,1218,48,22
die 1251,1216,42,23
Löhne 1306,1218,90,21
verlegt. 1410,1216,111,27
<EOS>
Es 1545,1217,37,20
wird 1596,1215,66,21
als 1681,1215,41,21
beste 1736,1215,74,20
Lösung 1828,1214,107,26
das 1956,1213,47,21
«System 2018,1212,120,27
des 1188,1253,46,20
Stundenbudgets» 1258,1251,244,27
empfohlen, 1527,1250,156,26
in 1709,1249,28,21
das 1762,1249,48,20
alle 1836,1248,51,20
auszuführenden 1913,1246,227,22
Arbeiten 1190,1285,124,22
mit 1334,1285,49,21
genauem 1402,1289,129,22
Schichtenaufwand 1552,1283,265,23
enthalten 1838,1281,135,22
sind. 1991,1280,67,21
<EOS>
Das 2083,1280,55,20
System 1190,1320,104,26
ermöglicht 1309,1319,157,26
neben 1480,1318,84,21
sicherer 1573,1317,115,22
Offertberechnung 1699,1315,259,27
auch 1968,1314,68,21
rasche 2046,1312,93,22
Kontrollen 1190,1355,153,20
bzw. 1363,1354,63,20
<EOS>
Zwischenkalkulationen 1442,1350,333,23
über 1796,1350,64,20
effektive 1881,1349,128,21
Ausfüh¬ 2023,1346,117,23
rungskosten 1188,1388,178,26
und 1381,1388,53,20
Voranschlag 1448,1386,179,25
während 1643,1384,123,21
dem 1782,1384,59,21
Bau 1857,1384,56,20
und 1928,1383,53,21
nach 1996,1382,68,21
Vol- 2078,1381,60,20
lendung. 1190,1422,119,26
<EOS>
Grundlage 1336,1422,151,25
für 1507,1420,45,21
das 1572,1420,49,21
System 1637,1419,105,26
ist 1762,1418,35,20
und 1817,1417,52,21
bleiben 1885,1416,102,22
aber, 2005,1416,70,24
wie 2090,1415,49,21
übrigens 1189,1455,125,27
