2254,2981
132 211,78,46,21
und 1107,975,52,22
seit 213,1012,51,20
letztem 279,1011,106,21
Frühjahr 402,1010,131,26
liegt 548,1010,64,25
ein 628,1009,42,21
dritter 685,1008,94,22
Band 792,1009,72,20
vor, 881,1013,53,19
umfassend 951,1008,151,20
die 1118,1006,40,21
Arbeiten 213,1042,124,21
von 354,1046,51,16
1934—38, 422,1040,131,25
die 570,1041,40,20
vorwiegend 626,1039,163,26
städtebauliche 803,1038,205,22
PBljjleme 1025,1030,133,33
behandeln. 213,1072,149,21
<EOS>
In 396,1072,32,20
zwei 452,1071,64,20
Hauptabschnitten 533,1068,254,28
werden 812,1069,102,20
Bebauungs-Vor¬ 930,1068,228,26
schläge 214,1102,104,27
für 335,1102,44,21
Nemours 395,1102,128,21
(Nord-Afrika), 544,1100,212,24
Hellocourt 776,1099,149,21
(Bata), 944,1097,102,26
Rio 1064,1098,49,20
de 1129,1097,30,20
Janeiro, 213,1130,113,27
Paris, 339,1132,82,25
im 435,1132,37,20
gesamten 485,1131,136,26
und 631,1130,54,21
die 698,1130,40,21
Elemente 753,1129,132,22
der 900,1129,45,21
Stadt 960,1129,76,20
(Wohn¬ 1054,1129,105,23
hochhäuser, 213,1163,167,23
Vergnügungszentrum, 395,1161,315,28
Museum 726,1160,119,21
usw.) 859,1160,75,24
<EOS>
im 953,1159,35,20
besonderen 1002,1158,157,21
erläutert. 214,1193,132,22
<EOS>
Zwischenhinein 378,1191,218,22
lesen 609,1191,71,21
wir 692,1190,48,22
Referate 754,1190,121,21
Le 892,1190,34,20
Corbusiers, 941,1189,157,24
an¬ 1113,1193,45,16
geregt 214,1224,92,26
durch 324,1223,80,22
Reisen 422,1223,94,21
nach 533,1223,66,20
Amerika 617,1222,125,20
(Vorschlag 764,1220,155,26
für 935,1219,44,21
Manhattan, 996,1218,162,24
Gedanken 216,1255,138,20
über 373,1253,63,21
Ford), 455,1253,89,25
mit 563,1252,48,21
Skizzen 630,1252,108,21
seiner 756,1251,84,22
Hand 859,1251,76,20
erläutert, 951,1250,130,23
teil¬ 1103,1249,55,20
weise 214,1284,78,22
auch 308,1284,67,21
in 390,1284,28,21
deutscher 433,1284,137,21
und 586,1283,52,20
englischer 654,1282,144,26
Uebersetzung. 812,1280,201,26
<EOS>
Aus 1030,1280,55,20
dem 1102,1279,58,21
Inhalt 213,1314,88,21
seien 325,1315,70,20
noch 418,1314,66,20
zwei 509,1313,63,21
ausgeführte 596,1312,169,27
Weekendhäuser 790,1311,224,21
und 1038,1310,53,21
der 1113,1310,46,20
Pavillon 214,1345,115,21
des 349,1345,44,21
Temps 407,1345,94,26
Nouveaux 518,1344,143,20
an 677,1348,34,15
der 728,1343,45,20
Pariser 790,1341,104,21
Ausstellung 910,1340,169,26
1937 1097,1338,61,22
genannt. 215,1376,121,25
<EOS>
Mag 371,1376,63,24
auch 451,1374,67,21
die 534,1374,40,20
formale 593,1372,109,22
Seite 721,1372,70,22
der 809,1372,45,21
Projekte 872,1371,122,26
zu 1013,1376,32,15
Wider¬ 1062,1370,96,21
spruch 214,1406,96,27
reizen, 326,1405,91,25
der 434,1405,46,21
ihnen 495,1405,77,20
innewohnenden 588,1403,217,21
hohen 820,1402,83,20
Auffassung 919,1402,164,25
vom 1099,1405,60,16
Menschen 215,1437,139,20
als 372,1435,39,21
geistigem 428,1434,139,27
Wesen 585,1434,92,21
(beachte 700,1433,119,24
die 837,1432,41,21
asketisch 893,1432,132,21
zeichne¬ 1045,1430,113,21
rische 214,1467,84,21
Haltung 313,1466,118,26
der 448,1466,45,20
Pläne!) 509,1464,102,24
<EOS>
wird 631,1464,65,21
man 711,1468,62,16
sich 789,1463,55,21
nicht 859,1462,71,21
entziehen 946,1461,134,22
kön¬ 1095,1461,62,20
nen. 213,1503,57,15
<EOS>
— 287,1509,31,2
Max 334,1498,61,18
BiU 411,1496,49,20
hat 475,1495,47,21
zu 537,1500,32,16
dem 585,1495,58,21
Band 659,1494,73,21
eine 748,1494,55,20
Einleitung 816,1492,148,26
geschrieben; 980,1491,176,26
die 215,1528,41,21
Ausstattung 269,1527,178,25
ist 460,1526,35,21
ein 510,1526,40,20
Zeugnis 564,1525,111,25
seines 688,1524,84,21
graphischen 787,1522,171,27
Talentes. 969,1521,128,22
<EOS>
<EOP>
H. 994,1551,32,22
<EOS>
Suter. 1044,1552,83,20
<EOS>
Korrosion 278,1593,141,22
VII. 434,1594,56,21
<EOS>
Bericht 523,1593,105,21
über 644,1592,65,21
die 724,1592,41,21
Korrosionstagung 783,1590,254,25
1938 1056,1589,60,21
in 1134,1588,26,21
Berlin. 215,1626,93,21
<EOS>
Veranstaltet 340,1624,178,22
von 535,1628,51,15
der 603,1623,45,20
Arbeitsgemeinschaft 664,1621,294,26
auf 969,1621,50,19
dem 1037,1621,57,19
Ge¬ 1112,1619,46,21
biete 215,1656,68,21
der 309,1655,45,21
Korrosion 378,1654,141,22
und 544,1654,53,20
des 623,1654,44,19
Korrosionschutzes 694,1651,259,22
im 978,1650,36,20
NSBDT. 1041,1649,117,21
<EOS>
DIN 216,1687,62,20
A 293,1687,23,19
5, 331,1686,20,23
IV/81 367,1685,79,29
Seiten 463,1685,86,20
mit 563,1683,48,21
45 625,1683,30,20
Bildern. 669,1682,109,21
<EOS>
Berlin 810,1681,86,22
1939, 912,1681,68,24
VDI-Verlag 993,1679,167,24
GmbH. 217,1716,97,21
<EOS>
Preis 345,1715,72,22
kart. 432,1715,68,21
<EOS>
Fr. 516,1715,42,20
<EOS>
8,40. 575,1714,59,23
<EOS>
<EOP>
Die 279,1747,47,20
Vorträge 343,1746,129,25
befassen 494,1745,122,20
sich 640,1743,56,21
mit 721,1743,46,20
der 793,1743,45,20
Korrosion 853,1742,141,21
an 1010,1746,35,15
Regel-, 1061,1740,97,25
Mess- 216,1778,79,19
und 314,1776,53,21
Absperrorganen. 384,1776,236,27
<EOS>
Während 654,1773,130,21
bei 799,1772,42,21
den 859,1772,49,21
früheren 925,1771,122,21
Korro¬ 1065,1770,93,21
sionstagungen, 215,1807,210,26
bei 451,1806,41,20
denen 518,1805,81,20
allgemeine 626,1803,150,27
Werkstoff-Fragen 803,1802,260,25
eines 1091,1800,68,21
grösseren 216,1836,136,27
Anwendungsgebietes 370,1835,298,26
beraten 687,1833,108,21
wurden, 813,1833,112,24
die 946,1832,40,21
Stofferhal¬ 1006,1830,153,23
tung 216,1868,66,26
lm 296,1868,37,20
Vordergrund 348,1866,183,26
der 544,1865,46,21
Erörterungen 605,1864,193,26
stand, 814,1863,83,24
trat 914,1863,55,19
bei 986,1862,39,20
der 1040,1862,45,20
vom 1100,1866,60,16
Deutschen 216,1897,147,22
Verein 380,1897,93,22
von 490,1901,51,16
Gas- 559,1896,62,21
und 639,1895,53,21
Wasserfachmännern 708,1893,292,22
einberufe¬ 1018,1891,142,22
nen 215,1934,50,16
7. 283,1928,21,20
<EOS>
Korrosionstagung 324,1926,255,26
ein 597,1925,41,21
zweiter 655,1924,105,22
Faktor, 779,1923,106,25
die 903,1923,40,21
Korrosion 963,1922,140,21
als 1120,1921,39,20
Betriebsstörung, 216,1957,234,27
in 467,1957,26,21
Erscheinung. 509,1956,184,24
<EOS>
Die 710,1955,47,20
Vorträge 773,1954,128,26
brachten 915,1952,126,22
die 1057,1952,40,21
Er¬ 1112,1952,46,20
kenntnis, 217,1988,127,25
dass 362,1989,61,19
es 439,1993,29,15
nicht 491,1985,73,23
mehr 588,1986,72,21
nur 686,1991,49,15
um 751,1990,44,16
den 809,1985,50,20
Stoff 876,1984,72,21
geht, 964,1982,68,27
sondern 1050,1982,110,21
dass 216,2019,61,21
auch 302,2019,65,20
die 394,2018,39,21
Funktionserhaltung 451,2016,283,25
der 759,2015,45,20
aus 828,2019,48,16
den 903,2014,49,21
untersuchten 975,2012,185,22
Werkstoffen 216,2049,178,21
hergestellten 428,2046,183,27
Gegenstände 638,2045,180,26
eine 853,2044,55,21
wichtige 941,2042,121,26
Rolle 1089,2041,71,21
spielt. 216,2079,84,28
<EOS>
Dabei 331,2079,80,20
ist 428,2078,35,21
dann 478,2079,68,20
aber 562,2077,63,21
Abhilfe 641,2076,104,21
nicht 760,2075,72,21
allein 848,2074,77,22
mit 941,2073,47,21
Hilfe 1004,2073,71,21
eines 1090,2072,69,21
geeigneten 216,2109,151,26
Baustoffes 384,2108,152,21
möglich. 551,2107,118,27
<EOS>
Eine 685,2106,64,21
wirksame 764,2106,138,21
Bekämpfung 918,2103,182,26
der 1115,2102,45,21
Korrosion 216,2139,141,21
ist 373,2139,36,21
erst 427,2139,54,21
von 498,2142,50,17
einer 566,2138,70,20
richtigen 654,2136,127,26
Konstruktion 796,2134,190,22
der 1003,2134,46,20
Geräte 1065,2132,95,22
und 216,2169,53,21
ausserdem 284,2168,149,21
einer 450,2168,71,21
Beeinflussung 537,2167,199,25
des 753,2167,44,20
angreifenden 813,2164,184,27
Mittels 1013,2162,100,22
zu 1129,2167,32,16
erwarten. 218,2200,134,21
<EOS>
Die 368,2199,48,20
Beiträge 431,2198,122,25
zeigen 568,2198,89,26
deutlich, 672,2196,119,26
dass 808,2196,61,21
Fortschritte 886,2194,171,22
in 1074,2193,26,21
der 1117,2193,44,19
Korrosionsbekämpfung 217,2228,331,27
nur 560,2234,48,15
durch 622,2227,82,22
enge 717,2232,64,21
Gemeinschaftsarbeit 795,2223,293,25
zwi¬ 1101,2223,58,21
schen 217,2260,78,21
Werkstoff-Fachmann, 309,2258,313,25
Konstrukteur 637,2257,193,21
und 844,2256,53,22
Betriebsingenieur 909,2253,252,27
zu 217,2295,33,16
erreichen 267,2289,130,22
sind. 414,2289,64,21
<EOS>
<EOP>
Schweizerische 277,2325,217,22
Bauzeitung, 513,2324,171,26
Jahrgänge 707,2323,152,27
1912 881,2322,58,21
bis 954,2322,42,20
1914, 1011,2321,66,23
1916 1102,2318,60,23
bis 215,2356,41,21
1934 272,2356,58,21
gebunden 346,2355,135,26
(22 501,2355,41,22
Bände), 557,2354,110,23
Jahrgänge 694,2354,152,25
1935 869,2353,58,20
bis 951,2352,40,20
1939 1014,2351,60,21
noch 1095,2349,67,23
ungebunden, 215,2385,180,27
hat 410,2385,47,20
günstig 472,2384,109,26
abzugeben 592,2383,150,27
Frau 757,2383,70,22
G. 842,2383,27,20
<EOS>
Federer-Supersaxo, 882,2382,280,26
Basel, 216,2416,84,25
Rufacherstrasse 315,2416,234,21
8. 566,2414,20,21
<EOS>
<EOP>
Eingegangene 280,2468,199,25
Werke; 495,2466,104,25
Besprechung 616,2465,181,27
vorbehalten: 811,2465,176,21
Model 279,2514,74,18
Tests 378,2512,65,19
of 471,2512,23,18
Boulder 518,2511,98,19
Dam. 640,2511,64,18
<EOS>
Boulder 734,2510,97,18
Canyon 855,2509,92,21
Project, 973,2509,96,20
Final 1096,2507,64,19
Reports. 218,2536,103,22
<EOS>
Part 348,2535,57,19
V, 417,2535,25,19
Technical 458,2533,118,20
Investigations, 591,2532,181,22
Bulletin 788,2532,99,18
3. 903,2532,16,17
<EOS>
Mit 937,2532,43,17
258 992,2531,37,18
Diagram- 1042,2531,117,22
men 217,2563,51,14
und 290,2558,46,18
Abbildungen. 358,2557,164,21
<EOS>
Denver 549,2557,88,17
(Col.) 660,2555,66,21
<EOS>
U. 751,2555,26,18
<EOS>
S. 787,2554,21,18
<EOS>
A. 818,2554,25,17
<EOS>
1939, 868,2554,55,20
zu 947,2559,26,12
beziehen 994,2553,106,18
bei 1124,2553,35,17
United 216,2581,85,20
States 322,2580,75,19
Dept. 418,2580,65,22
<EOS>
of 508,2579,23,18
the 554,2579,38,18
Interior, 616,2578,102,20
Bureau 743,2578,88,17
of 854,2576,24,18
Reclamation. 899,2576,159,17
<EOS>
Preis 1096,2575,63,18
geb. 218,2604,50,21
<EOS>
t 287,2604,14,22
1,50. 318,2603,49,21
<EOS>
<EOP>
Stress 279,2629,74,19
Studies 372,2629,89,19
for 479,2629,35,17
Boulder 531,2626,97,20
Dam. 646,2626,64,18
<EOS>
Bulletin 738,2625,100,18
4. 853,2625,18,17
<EOS>
Mit 891,2624,41,18
117 950,2624,35,18
Diagrammen 1003,2624,158,20
und 218,2653,46,18
Abb. 280,2653,56,18
<EOS>
Im 363,2653,35,17
übrigen 412,2650,97,23
wie 525,2650,42,18
Bulletin 585,2648,98,19
3. 702,2649,18,17
<EOS>
Preis 747,2648,63,17
geb. 827,2647,48,20
<EOS>
% 897,2647,14,22
1,50. 928,2646,50,20
<EOS>
<EOP>
Deutscher 278,2678,126,19
Reichsbahn-Kalender 424,2675,267,20
1940. 711,2674,55,18
<EOS>
Berlin 788,2671,77,20
1940, 885,2672,54,20
Reichsverkehrs- 961,2671,200,19
ministerium, 218,2702,156,19
Pressedienst. 390,2699,164,20
<EOS>
<EOP>
Gaststätten. 278,2726,149,21
<EOS>
Cafés 464,2725,66,19
und 554,2724,46,18
Restaurants, 624,2722,156,20
Ausflugs- 804,2720,119,22
und 949,2720,46,18
Tanzlokale, 1019,2719,139,20
Bars, 216,2752,63,19
Trink- 297,2749,81,20
und 394,2748,46,20
Imbisatuben 457,2747,154,19
aus 627,2750,42,14
Deutschland 686,2744,152,20
und 853,2744,47,18
dem 918,2742,51,19
Ausland. 981,2742,108,18
<EOS>
Her¬ 1103,2742,58,17
ausgegeben 218,2773,142,22
von 381,2775,43,16
Herbert 445,2769,140,20
Hoffmann. 605,2768,179,19
<EOS>
Mit 820,2766,43,19
223 882,2765,37,19
Lichtbildern 939,2764,156,19
und 1115,2763,46,18
129 218,2796,35,19
Plänen. 273,2796,93,18
<EOS>
Stuttgart 395,2793,114,23
1939, 527,2792,55,21
Verlag 604,2791,82,20
von 704,2794,44,14
Julius 767,2789,75,19
Hoffmann. 863,2787,130,19
<EOS>
Preis 1027,2786,64,19
geb. 1110,2786,49,22
<EOS>
etwa 218,2819,58,19
Fr. 290,2819,37,18
<EOS>
24,80. 343,2816,63,22
<EOS>
<EOP>
Die 277,2844,41,19
Fahrdynamik 335,2841,170,24
der 522,2841,40,18
Verkehrsmittel. 577,2838,195,21
<EOS>
Eine 803,2837,56,19
Berechnungsgrundlage 875,2835,286,23
für 217,2869,36,16
das 286,2868,41,17
Wirtschaften. 358,2864,169,20
<EOS>
Von 563,2863,49,18
Dr.-Ing. 635,2861,100,22
<EOS>
habil. 759,2860,69,19
<EOS>
Wilhelm 852,2858,146,19
Müller, 1029,2858,129,20
o. 217,2896,18,12
<EOS>
Professor 257,2889,118,18
an 395,2892,28,15
der 442,2887,41,19
T. 500,2887,25,17
<EOS>
H. 535,2886,27,18
<EOS>
Berlin. 585,2885,83,19
<EOS>
Mit 702,2884,43,18
236 763,2884,36,18
Abb. 818,2882,56,19
<EOS>
Berlin 908,2881,76,19
1940, 1002,2880,55,21
Verlag 1078,2880,83,21
von 218,2917,41,14
Julius 278,2911,75,19
Springer. 371,2910,113,22
<EOS>
Preis 516,2908,66,19
geh. 599,2908,49,21
<EOS>
etwa 669,2907,57,18
Fr. 743,2907,37,17
<EOS>
60,75, 798,2904,63,22
geb. 881,2904,49,22
<EOS>
Fr. 950,2904,37,18
<EOS>
63,10. 1007,2903,61,21
<EOS>
<EOP>
Die 1267,126,41,17
Gasmaschine. 1325,125,165,18
<EOS>
Von 1508,125,49,18
Dr. 1572,125,39,17
<EOS>
Ing. 1630,125,50,21
<EOS>
Ad. 1696,124,49,18
<EOS>
Schnür 1764,123,122,19
le, 1893,124,34,20
Direktor 1945,123,107,18
in 2068,122,24,19
der 2108,123,44,18
KlöcIq||r-Humboldt-D<MJs 1205,143,332,33
A.-G. 1554,147,63,18
<EOS>
Mit 1645,147,43,18
170 1707,147,35,18
Abb. 1762,146,56,18
<EOS>
Wien 1847,146,64,17
1939, 1930,146,54,20
Verlag 2005,146,83,21
von 2106,149,45,14
Julius 1206,171,75,18
Springer. 1298,169,113,23
<EOS>
Preis 1429,170,65,19
kart, 1508,170,57,19
etwa 1583,170,58,19
17 1657,169,23,18
Fr. 1697,170,36,17
<EOS>
<EOP>
Das 1254,198,45,17
Triebwerk 1323,197,130,18
schneilaufender 1475,196,194,18
Verbrennungskraftmaschinen. 1691,195,374,21
<EOS>
Von 2100,194,50,18
Obering. 1204,219,105,21
<EOS>
H. 1328,219,28,18
<EOS>
Krem 1378,219,89,18
sffir, 1476,220,63,26
Klöckner-Humboldt-Deutz-Motoren 1560,218,445,18
A.-G. 2023,217,62,17
<EOS>
Mit 2106,216,44,19
184 1204,243,35,18
Abb. 1262,242,55,17
<EOS>
Wien 1340,242,65,18
1939, 1428,241,55,21
Verlag 1505,241,83,21
von 1612,245,43,13
Julius 1677,240,76,18
Springer. 1774,240,113,22
<EOS>
Preis 1921,240,64,17
kart, 2007,240,57,17
etwa 2090,240,59,17
Fr. 1206,266,35,16
<EOS>
22,26. 1257,264,64,21
<EOS>
<EOP>
Almanacco 1267,292,129,16
Ticinese 1416,290,100,17
1940. 1535,290,55,17
<EOS>
Bellinzona 1620,289,129,17
1940, 1765,288,55,21
Istituto 1839,288,93,18
Editoriale 1949,288,123,18
Tici¬ 2090,288,58,17
nese. 1206,318,59,14
<EOS>
Preis 1295,313,63,18
kart. 1373,313,57,18
<EOS>
Fr. 1448,312,36,18
<EOS>
1,30. 1501,312,49,21
<EOS>
<EOP>
Gefahren 1267,340,111,18
an 1401,345,28,12
wasserdruckhaltenden 1454,337,276,19
Dichtungen 1753,337,143,21
und 1919,337,45,18
deren 1987,337,69,18
Beur¬ 2078,337,72,17
teilung. 1204,362,95,22
<EOS>
Von 1325,362,50,17
Dr.-Ing. 1390,362,100,20
<EOS>
Hans 1507,362,85,16
Klippel. 1608,359,139,22
<EOS>
Mit 1764,359,43,19
42 1820,359,25,18
Abb. 1858,359,57,18
<EOS>
Berlin 1930,359,77,18
1940, 2021,358,55,20
Ver¬ 2092,359,57,17
lag 1206,386,35,20
von 1256,389,44,14
Wilhelm 1314,385,103,17
Ernst 1434,385,68,16
& 1517,384,20,18
Sohn. 1550,383,66,18
<EOS>
Preis 1646,383,63,17
geh. 1726,383,47,20
<EOS>
etwa 1791,382,57,18
Fr. 1863,383,36,16
<EOS>
3,65. 1917,382,49,20
<EOS>
Für 1206,439,54,21
den 1274,439,49,20
TextteU 1339,438,111,21
verantwortliche 1466,436,225,22
Redaktion: 1706,435,157,21
Dipl. 1206,472,66,26
<EOS>
Ing. 1281,472,54,25
<EOS>
CARL 1355,472,88,20
JEGHER, 1460,471,139,24
Dipl. 1615,470,67,26
<EOS>
Ing. 1692,470,55,25
<EOS>
WERNER 1756,469,149,20
JEGHER 1922,468,132,21
Zuschriften: 1207,505,150,18
An 1372,506,35,17
die 1422,505,37,18
Redaktion 1472,504,127,18
der 1615,505,40,17
«SBZ», 1670,503,80,21
Zürich, 1767,503,86,20
Dianastr. 1870,503,113,17
<EOS>
5, 1993,502,17,20
Tel. 2026,501,47,19
<EOS>
34 2082,502,24,18
507 2112,501,37,20
MITTEILUNGEN 1206,579,337,33
DER 1566,578,90,32
VEREINE 1682,577,195,32
SA 1207,635,118,61
Schweizer. 1369,634,175,27
<EOS>
Ingenieur- 1559,634,172,33
und 1747,633,61,27
Architekten-Verein 1821,632,325,28
I 1236,676,10,19
ll 1264,669,24,26
Hl 1300,668,41,27
Auszug 1365,679,110,25
aus 1489,683,49,16
dem 1554,677,60,22
Protokoll 1622,677,137,22
des 1775,677,45,21
C-C 1831,676,55,22
vom 1901,682,58,14
9. 1975,676,22,21
<EOS>
Febr. 2006,675,76,21
<EOS>
1940 2090,675,61,20
1. 1269,729,20,20
<EOS>
Mitgliederbewegung. 1306,728,427,26
<EOS>
In 1266,758,26,17
der 1311,758,40,17
Central-Comité-Sitzung 1369,756,291,22
vom 1679,761,51,13
9. 1748,756,17,18
<EOS>
Februar 1786,756,101,18
¦ 1897,763,2,2
sind 1907,755,50,18
aufgenommen. 1976,754,174,22
<EOS>
wordeBy^ 1204,776,134,30
Cart 1204,803,53,17
Pierre, 1278,802,83,21
ingénieur-électricien, 1383,801,261,22
Le 1666,802,32,17
Locle 1717,800,67,19
(Section 1806,800,99,20
Chaux-de-Fonds). 1924,799,222,20
<EOS>
Marti 1203,825,70,18
Fritz, 1288,826,67,17
ingénieur-électricien, 1375,825,261,21
Chaux-de-Fonds 1654,823,204,19
(Sect. 1876,822,66,20
<EOS>
Ch.-de-Fonds). 1960,821,186,20
<EOS>
Bugni 1203,848,74,22
on 1279,853,28,12
Frank, 1324,848,81,20
ingénieur-électricien, 1425,846,262,21
Genève 1707,846,86,18
(Section 1812,845,99,20
Genève). 1930,844,105,20
<EOS>
Micheli 1204,871,89,17
Jacques, 1313,871,103,20
ingénieur-éleo^gaen, 1438,863,262,32
Genève 1722,868,86,18
(Section 1831,868,98,19
Genève). 1948,867,104,19
<EOS>
Perrin 1204,893,81,18
Louis, 1305,892,77,22
ingénieur-civil, 1401,892,188,22
Genève 1610,891,88,18
(Section 1719,890,100,21
Genève). 1837,890,105,19
<EOS>
Bovet 1204,916,69,18
Theodor, 1295,915,108,21
ingénieur-mécanicien, 1425,914,271,22
Genève 1719,912,86,19
(Section 1829,913,98,19
Genève). 1946,912,105,19
<EOS>
Birchmeier 1205,938,135,18
Auguste, 1359,938,108,20
ingénieur-civil, 1487,936,187,22
Lausanne 1694,936,119,18
(Section 1834,936,98,19
Vaudoise). 1950,935,129,18
<EOS>
Boon 1204,962,63,17
A. 1283,961,25,17
<EOS>
E., 1320,961,32,20
<EOS>
